stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,7.89,0,0,28.92,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,152.47,5.26,0,0,70.98,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,25.18,0,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,254.9,3.15,0,0,119.58,0,0,0,6.29,22.03,0,0,0,0,0
 14-21,0,0,3,5,4,5,0,0,15,2,0,0,0,0,0,0,0,12,0,7,137,1,1,1,4,0,0,0,7,3,7,65,0,0,0
 24-34,0,0,0.82,2.46,0,38.58,0,0,7.39,0,0,0,0,0.82,0,0.82,0.82,20.52,0,1.64,269.24,0,1.64,3.28,0,0,2.46,0,0.82,0,0,64.85,3.28,0,0.82
 36-46,0,0,0,0.81,0,66.06,0,0,4.03,0,0,0,0,0,0,0,0,16.92,0.81,7.25,176.44,0,2.42,0,0,0,0,0,0,0.81,0,47.53,0,0,0
 48-58,0,0,0,1.72,0,70,0,0,9.75,0,0,0,0,0,0,0,0,20.08,0.57,5.16,71.73,0,2.3,1.15,0,0,0.57,0,0,0,0,16.07,0,0,0.57
 60-70,0,0,0,0.98,1.96,60.85,0,0,11.78,0,0,0,0,0,0.98,0,0,8.83,0,0.98,48.09,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,2.94,1.96,23.56,0,0.98,10.8,0,0,0,0,0,0,0,0,13.74,0,2.94,33.38,0,5.89,1.96,0,0,0,0,0,0,0,1.96,0.98,0.98,0.98
 84-94,0,0,0,2.12,1.06,28.68,1.06,1.06,7.43,0,0,1.06,0,0,3.19,0,0,7.43,2.12,4.25,27.61,0,2.12,1.06,0,0,0,0,0,0,0,2.12,1.06,0,1.06
 96-106,0,0,0,0,2.19,15.3,1.09,0,4.37,0,0,1.09,0,0,0,0,0,8.74,0,3.28,19.67,0,7.65,4.37,0,1.09,2.19,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,13.79,0.77,0,4.6,2.3,0,1.53,0.77,0,0,0,0,9.96,0.77,0,28.34,0,3.83,1.53,0,0,0.77,0,0,0.77,0,0.77,3.83,0,0.77
120,0,0,0,0,0,15.68,0,0,1.96,1.96,0,0,0,1.96,0,0,0,5.88,0,0,21.56,0,1.96,0,0,0,0,0,0,0,0,1.96,3.92,0,0
