stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,19,100,0,0,0,0,0,0,3,0,0,0,0,0,104,0,0,30,64,0,0,0,0,0,0,0,0,0,11,0,0,0,0
 24-34,0,0,2.46,7.39,14.78,0.82,0,0,0,0.82,1.64,4.1,0,0,0.82,0,0.82,75.52,0,0,19.7,80.44,0.82,0.82,0,0,2.46,0,0,0,0.82,27.91,0,0,0,0.82
 36-46,0,0,0,0.81,1.61,1.61,0.81,0,0,0,2.42,9.67,0,0,0.81,0,0,50.76,0,7.25,37.06,35.45,0,0,0,0.81,0,0.81,0,0,0,27.39,0,0,0,0
 48-58,0,0,0,0,0.57,6.89,0,0,0,1.72,0.57,6.31,0,0,0,0,0,71.15,0.57,22.95,44.18,39.02,0,0,0,2.3,0.57,0.57,0,0,0,21.8,0,1.15,1.72,0
 60-70,0,0,0,0.98,0,3.93,2.94,0.98,0.98,0.98,0,12.76,0.98,0,0,0.98,0,92.26,0,47.11,20.61,27.48,0,0,0,2.94,0,0,0,0,0,8.83,0,22.58,11.78,0
 72-82,0,0,0,3.93,0,16.69,2.94,0.98,0,1.96,0,16.69,0.98,0,0,0.98,0,124.67,0,46.14,21.6,18.65,0,0,0,8.83,0.98,0,0,0,0,3.93,0.98,29.45,52.03,0
 84-94,0,0,0,5.31,0,16.99,4.25,0,1.06,4.25,0,13.81,0,0,0,0,0,81.78,0,50.98,15.93,5.31,0,0,0,7.43,0,0,0,0,0,3.19,0,46.73,47.79,0
 96-106,0,0,0,1.09,1.09,8.74,2.19,0,1.09,8.74,0,14.21,0,2.19,1.09,1.09,0,98.36,0,38.25,28.41,19.67,0,0,0,16.39,0,0,0,0,0,2.19,0,24.04,49.18,0
108-118,0,0,0,0.77,0,7.66,5.36,0,1.53,3.06,0,13.79,1.53,0,0,0,0,80.43,0,25.28,8.43,9.19,0,0,0,19.92,0,0,0,0,0,0,0,13.79,29.87,0
120,0,0,0,7.84,0,1.96,3.92,0,3.92,3.92,1.96,15.68,0,0,0,1.96,0,76.43,0,31.36,11.76,7.84,0,0,0,35.28,1.96,0,0,1.96,0,0,0,13.72,29.4,0
