stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,15.73,0,0,28.32,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,5,15,15,0,3,0,0,0,1,0,0,0,0,0,0,2,1,46,0,45,76,15,0,0,1,0,0,4,3,0,9,110,0,0,0,0,0
 24-34,0,0,1.64,3.28,8.21,0,0,2.46,0,1.64,6.57,2.46,1.64,0,2.46,0,0.82,0,4.1,0,196.18,0,96.86,178.95,2.46,1.64,0,0,0,1.64,0.82,2.46,4.93,2.46,138.72,0,0,0,0,0
 36-46,0,0,1.61,0,2.42,0,0,8.86,0.81,1.61,29,2.42,0,0,2.42,0.81,0,0.81,0,0,294.87,0.81,75.73,276.34,1.61,1.61,0.81,0,0,1.61,0.81,1.61,6.45,0,194.17,0,0,4.03,0,0
 48-58,0,0,1.15,0,2.87,0.57,0,37.3,0,2.3,35.58,9.75,0,0,2.87,0,0,0,0,0.57,375.27,0,40.17,512.41,0.57,0,0.57,0,0.57,1.72,0,0.57,1.15,0,185.34,0,1.15,2.3,0,2.3
 60-70,0.98,0,0,0,2.94,0,0,167.84,0,4.91,41.22,13.74,2.94,0,2.94,3.93,0,0.98,0.98,0.98,581.06,11.78,39.26,830.37,0,0,0.98,0,0.98,3.93,0,0,2.94,0,188.45,0,6.87,2.94,4.91,0
 72-82,0,0,3.93,0,4.91,0.98,0,295.48,0.98,0.98,50.06,22.58,0,0,2.94,1.96,0,0.98,0.98,0,832.45,15.71,54.97,834.41,0,0.98,1.96,0,2.94,3.93,0,0,0,0,120.74,0,26.5,5.89,42.21,0.98
 84-94,0,0,0,0,19.12,1.06,0,226.21,1.06,1.06,40.36,21.24,1.06,0,2.12,3.19,1.06,1.06,1.06,0,578.81,20.18,35.05,431.19,1.06,0,1.06,0,0,4.25,0,0,0,0,61.6,0,21.24,9.56,39.3,0
 96-106,0,0,0,0,18.58,2.19,0,189.06,0,2.19,32.79,31.69,1.09,0,7.65,8.74,3.28,1.09,3.28,0,542.05,12.02,22.95,424.02,0,1.09,0,0,2.19,12.02,0,0,1.09,0,39.34,1.09,16.39,5.46,50.27,1.09
108-118,0,0,0,0,22.21,3.06,0.77,130.98,1.53,1.53,28.34,39.06,2.3,0,3.83,2.3,0,0.77,0.77,0,513.2,9.19,29.87,417.45,0,0.77,0,0,0.77,3.83,0,0.77,0,0,19.92,1.53,21.45,6.13,31.4,0
120,0,0,1.96,0,17.64,0,0,107.79,0,3.92,25.48,35.28,0,0,0,0,0,0,3.92,0,376.28,17.64,35.28,358.64,1.96,0,0,0,1.96,5.88,0,1.96,0,0,45.08,0,11.76,1.96,39.2,0
