stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,1,0,3,1,0,0,10,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0.82,0,41.04,0,0.82,0,0,9.85,0,0,0.82,16.42,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0.81,0,0,0,0,0,0,3.22,0.81,1.61,91.85,0.81,1.61,0.81,0,8.06,0,0,0,23.36,0,0,0,0,0.81
 48-58,0,0,1.15,0,6.89,0.57,0,1.72,0,0,0,0,0,0.57,0.57,0.57,0,111.32,0,1.15,0,0,2.87,0,0.57,0,24.1,0,0,1.72,0,0
 60-70,0,0,1.96,0,20.61,0,0,4.91,0,0,0,0.98,0.98,0,5.89,0,0,213.97,0,0,0,0,0,0,0,0,25.52,0.98,0,0.98,0,0
 72-82,0,0,4.91,0,19.63,0,0,6.87,0,0,0.98,0,0,0,4.91,0,0.98,288.61,0,0,0,0,2.94,0,0,0,20.61,0,0.98,3.93,0,0
 84-94,0,0,3.19,0,19.12,0,1.06,5.31,1.06,0,0,0,0,0,2.12,0,2.12,132.75,0,1.06,3.19,0,4.25,0,0,0,13.81,2.12,0,0,0,0
 96-106,0,0,4.37,0,16.39,0,0,13.11,1.09,0,1.09,0,2.19,0,3.28,0,0,140.98,0,1.09,1.09,0,5.46,0,0,0,8.74,1.09,0,3.28,1.09,0
108-118,0,0,5.36,0.77,9.96,0,0,4.6,1.53,0,0,0,2.3,0,0.77,0,0,168.51,0,2.3,4.6,0.77,1.53,0,0,0,3.06,0.77,0,0,0,0
120,0,0,0,0,9.8,0,0,7.84,1.96,0,0,0,0,0,3.92,0,0,164.62,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,0,0
