stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,10,1,0,0,0,0,3,3,1,13,5,5,0,0,0
 24-34,0,0,2.46,5.75,0.82,0,0,0.82,0,0.82,0,0,0.82,0,0,0,0,3.28,0.82,0,4.1,45.97,1.64,0,0,0,0,4.1,0,0.82,53.36,1.64,14.78,0,0.82,0
 36-46,0,0,0.81,6.45,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,51.56,0,0,0,0,0,4.83,0,0,62.04,0,9.67,0,0,0
 48-58,0,0,1.15,9.18,1.15,0.57,1.15,2.3,0.57,0.57,0.57,0,0,0,0.57,0,0,3.44,0,0,1.72,39.59,0.57,1.72,0,0,0,2.3,0,0,53.94,0,8.03,0,0.57,0
 60-70,0,0,1.96,25.52,3.93,0,0.98,4.91,0.98,0,0,0,0,0.98,0,0,0.98,10.8,0.98,0,1.96,46.13,0,0,0,0,0,4.91,0,0,44.17,0,9.82,0,0.98,0
 72-82,0,0,1.96,18.65,1.96,0,0,4.91,0.98,0,0,0.98,0.98,0,0,0.98,0,14.72,0,0,0.98,41.23,0,0,0,0,0,2.94,0,0,25.52,0,2.94,0,0.98,0
 84-94,0,0,5.31,7.43,6.37,1.06,0,4.25,1.06,0,0,0,1.06,2.12,1.06,1.06,0,6.37,0,0,1.06,18.05,1.06,1.06,1.06,0,0,4.25,0,0,36.11,0,2.12,0,0,0
 96-106,0,0,1.09,13.11,4.37,0,1.09,6.56,1.09,0,0,1.09,0,1.09,1.09,0,0,6.56,1.09,1.09,0,19.67,1.09,1.09,2.19,1.09,1.09,9.84,0,0,19.67,0,1.09,0,2.19,1.09
108-118,0,0,3.06,12.26,12.26,0.77,0,1.53,0,0,0,1.53,0.77,0,0,0,0,4.6,0,0,0.77,14.55,0.77,0,2.3,0.77,0,3.06,0,0.77,22.21,0,0,1.53,0,0
120,0,0,3.92,1.96,3.92,5.88,0,5.88,5.88,0,0,1.96,0,0,0,0,1.96,7.84,0,0,3.92,17.64,0,0,3.92,0,0,3.92,0,0,13.72,0,0,0,0,0
