stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,10.51,2.63,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,9.44,0,6.29,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,3.28,0,0,0,0,0,0,0,0,8.21,0,0,1.64,0,0,0,0,0.82,0
 36-46,0,1.61,0,0,0,0,0,0,0,0,9.67,0,0,3.22,0,0,0,0,0,0
 48-58,0,1.15,1.15,0.57,0,0,0,0,0,0,28.12,0,0,2.87,0,0,0.57,0,0,1.15
 60-70,0,1.96,1.96,0.98,0,1.96,0,0,0,0,46.13,0,0,3.93,0,0,0,0,0,0
 72-82,0,2.94,0.98,0,1.96,0.98,0,0,0,0,72.64,0.98,0,1.96,0,0,0,0,0,0
 84-94,0,2.12,2.12,0,1.06,0,0,0,0,0,47.79,0,0,0,0,0,0,0,0,1.06
 96-106,0,2.19,2.19,0,0,2.19,0,0,0,0,43.71,0,0,5.46,0,0,1.09,1.09,0,0
108-118,0,3.06,0.77,0.77,0.77,0.77,0,0,0.77,0,25.28,0,0.77,0,0,0,0.77,0,0,0.77
120,0,3.92,0,0,0,0,3.92,0,0,1.96,15.68,0,3.92,0,0,0,0,0,0,0
