stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,2.42,0,0,1.61,0,0,2.42,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0,10.9,0.57,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0,5.89,0,1.96,0,0,0,3.93,0,26.5,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,7.85,0,0,0,0,0,0.98,0,41.23,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,0,5.31,0,0,0,1.06,0,1.06,1.06,38.23,2.12,0,0,0,0,1.06,1.06,1.06,0
 96-106,0,0,1.09,1.09,6.56,0,2.19,0,0,0,3.28,0,20.76,0,0,0,0,0,0,0,0,1.09
108-118,0,0.77,2.3,0,7.66,0.77,2.3,1.53,0,0.77,1.53,0,26.81,0.77,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,11.76,1.96,1.96,1.96,0,0,0,0,48.99,0,0,1.96,0,0,0,0,0,0
