stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0
 24-34,0,0,2.46,1.64,0.82,0,13.13,0,0,0,0,0,0,4.1,0,0,0,0,0,2.46,2.46
 36-46,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0.81,0,0,0,0,0,3.22,0.81
 48-58,0,0,0,0,0.57,0,12.62,0,0,0,0,0,0,0.57,0,0,0,0,0.57,6.89,0
 60-70,0,0,0,0,0.98,0,24.54,0,0,0,0.98,0,0,0,0,0,0,0,0.98,6.87,0
 72-82,0,0,2.94,0.98,0.98,0,36.32,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0,33.38,0
 84-94,0,0,4.25,1.06,0,1.06,58.41,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0,22.3,0
 96-106,0,0,14.21,0,0,1.09,66.66,1.09,0,1.09,1.09,0,0,2.19,0,0,0,0,0,38.25,1.09
108-118,0,0,21.45,2.3,0.77,3.06,65.87,0,0,0,2.3,0,0,0.77,0,0,0,0.77,0,29.87,0
120,0,0,3.92,5.88,0,1.96,64.67,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,17.64,0
