stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,751.14,12202.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0
  5-6,331,3561.32,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,6.13,0,0,24.52,55.17,0,0,0,0,0,0,0
  7-9,5.26,10.51,15.77,0,0,13.14,0,0,0,13.14,0,0,0,0,0,0,0,231.33,10.51,0,0,92,2.63,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,40.91,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,2,1,1,0,4,6,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0.82,0,0,0.82,0,1.64,0,0,0,18.88,0,0,0,0,3.28,0,0,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0.81,0,0,0,14.5,0,0.81,0,0,4.03,0,0,0,0,4.03,0,0.81
 48-58,0,0,0,0.57,0,9.18,0,0.57,0,0.57,0,0,0,1.72,0.57,0,0,22.95,0,0.57,0.57,0,1.72,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,10.8,0,0,0,0,0,0.98,0,1.96,0,0.98,0.98,13.74,0,0,0.98,0,2.94,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0,0,2.94,0,0,0,0,0.98,0,0,2.94,0.98,0,0.98,12.76,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,2.12,1.06,0,0,1.06,0,1.06,0,1.06,0,0,0,5.31,0,0,0,0,1.06,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0,6.56,0,0,0,3.28,0,0,2.19,0,1.09,0,0,0,0,0,0,2.19
108-118,0,0,0,0.77,0,1.53,0,0,0,0,0.77,1.53,0,0.77,0,0,0,5.36,0,0,0,0,0.77,0,0,0,0,0,2.3,2.3
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96,0,0,0,0
