stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,118.6,2912.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,98.07,1526.28,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,24.52,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.78,0,0,0,52.57,0,2.63,10.51,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,66.09,6.29,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,6,5,0,2,0,0,0,0,2,0,0,0,1,2,0,0,0,34,1,1,2,1,0,2,1,1,2,2,13,0,0,1,0
 24-34,0,0,0,0.82,3.28,0,0,11.49,0.82,1.64,0,0,0.82,0.82,0,0.82,0,6.57,0,0.82,2.46,84.55,0.82,0.82,0.82,0,0,0.82,0,0,0,0,18.06,0,0,10.67,0
 36-46,0,0,0,0,0.81,0,0,16.11,0,0.81,0,0,0,0,0,0,0,0.81,0,0.81,3.22,91.85,0,3.22,0.81,0,0,0.81,0,0,0,0,20.14,0,0,5.64,0
 48-58,0,0,0,0,2.87,0,0,36.15,0.57,12.05,0,0,0.57,0,0,0.57,0,12.05,0,1.15,0,87.22,0,2.3,0.57,0,0,0,0,0,0,0,16.64,0,0,6.31,0
 60-70,0,0,0,0,3.93,0.98,0,98.15,1.96,16.69,0.98,0,0.98,0,0.98,0,0,25.52,0.98,0,0,226.73,0,1.96,0.98,0,0.98,0,0,0,0,0,11.78,0,0,5.89,0
 72-82,0,0,0,0,3.93,2.94,0,99.15,0,15.71,0.98,0,0,0.98,0,0,0,46.14,0.98,1.96,1.96,264.07,0,3.93,0,0,0,0.98,0.98,0,0,0,14.72,0.98,0,12.76,1.96
 84-94,0,0,1.06,0,4.25,1.06,0,63.72,0,20.18,1.06,0,0,1.06,1.06,0,1.06,22.3,0,5.31,0,122.13,0,4.25,3.19,0,0,2.12,0,0,0,0,2.12,1.06,3.19,6.37,0
 96-106,0,0,1.09,0,4.37,1.09,1.09,38.25,0,6.56,2.19,0,1.09,2.19,0,0,1.09,18.58,3.28,2.19,0,80.87,0,1.09,3.28,0,0,2.19,0,0,0,0,2.19,0,0,7.65,0
108-118,0,0,0,0,3.83,0.77,1.53,44.43,0,9.19,3.83,0,0,3.83,0,0,1.53,11.49,0.77,0,0,115.66,0,0,1.53,0,0,1.53,0,0,0,0,3.83,0.77,2.3,9.19,0
120,0,0,0,0,1.96,0,0,29.4,0,9.8,0,0,0,5.88,0,0,0,7.84,0,0,1.96,105.83,0,0,0,0,0,1.96,0,0,0,0,3.92,0,1.96,3.92,0
