stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,14.78,0,1.64,4.93,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,1.61,0,0,0,0,12.09,0,1.61,6.45,0.81,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,1.15,0,0.57,0,1.15,0,0,0,0,18.36,0,0.57,17.79,0,0,0,0,0,0.57,0,0,0,0,0.57
 60-70,0.98,0.98,1.96,0,5.89,0,3.93,0,0,0,0.98,36.32,0,0.98,16.69,0,0,0,0,0,3.93,0,0,0,0,0.98
 72-82,0,0,3.93,0,5.89,0,6.87,0,0.98,0,0,84.42,0.98,0,31.41,0,0,0,0,0,0.98,0.98,0.98,0,0.98,10.8
 84-94,0,0,4.25,0,7.43,0,7.43,0,0,1.06,2.12,44.61,3.19,1.06,16.99,0,0,0,0,0,0,0,1.06,0,0,13.81
 96-106,0,0,4.37,0,6.56,0,9.84,0,0,0,1.09,56.83,0,1.09,20.76,0,0,0,0,1.09,0,0,2.19,0,0,14.21
108-118,0.77,1.53,6.13,0.77,5.36,0.77,11.49,0.77,0.77,0,2.3,66.64,0,1.53,16.09,0,0,0,0,0,0,0,1.53,0,0,17.62
120,0,0,7.84,1.96,13.72,0,54.87,0,0,0,1.96,62.71,0,0,11.76,1.96,0,1.96,0,0,0,0,3.92,1.96,0,7.84
