stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,911,1,0,4,0,11,0,0,0,3,6,3,5,0,0,0,0,33,8,0,66,18,3,1,1,15,0,67,0,37,0,96,31,3,0,0,0,0,0
 24-34,0,0,0,918.54,1.64,0,51.71,22.98,74.7,6.57,6.57,2.46,0,5.75,13.95,30.37,0,8.21,1.64,0,256.93,13.95,0,270.88,110.82,0.82,13.13,9.03,0,0,73.06,0,0.82,7.39,106.71,78.8,10.67,0,0,2.46,0,0
 36-46,0,0.81,0,440.7,0,0,38.67,27.39,81.37,16.11,12.09,2.42,0,6.45,11.28,17.72,0,6.45,0,0.81,468.9,7.25,2.42,163.55,73.32,0,7.25,3.22,0,0,68.48,0,0.81,4.83,56.4,3.22,17.72,0,0,0.81,0,0.81
 48-58,0,0,0,274.85,0,0,32.13,18.36,125.66,21.23,18.94,0,0,1.72,9.75,3.44,0,6.31,0.57,0,309.85,5.16,1.15,87.22,52.22,0,3.44,0.57,0,0,54.51,0.57,0,1.15,26.4,0,8.03,0,0,2.3,0,1.72
 60-70,0.98,0,0,268.94,0,0,33.37,8.83,122.69,24.54,19.63,0.98,1.96,1.96,6.87,7.85,0,7.85,0.98,0,260.1,6.87,0,73.61,25.52,0.98,1.96,3.93,0,0.98,69.69,0,0,3.93,16.69,0,1.96,0,3.93,1.96,0,0
 72-82,0,0,0,399.54,0.98,0,55.95,4.91,157.07,32.39,37.3,8.83,0,0.98,28.47,17.67,0,9.82,0,0,397.57,11.78,4.91,86.39,42.21,0,1.96,1.96,0,1.96,76.57,0,0,0.98,0,0,1.96,4.91,11.78,1.96,0.98,0.98
 84-94,0,0,0,795.47,2.12,0,60.54,6.37,319.67,41.42,19.12,14.87,1.06,1.06,36.11,39.3,0,23.36,0,0,277.19,6.37,0,66.91,19.12,0,12.74,7.43,0,0,177.36,0,0,12.74,3.19,0,2.12,13.81,7.43,2.12,2.12,1.06
 96-106,0,0,0,1181.37,5.46,3.28,62.29,6.56,382.5,43.71,26.23,39.34,0,0,50.27,54.64,1.09,29.51,2.19,1.09,311.46,17.49,3.28,66.66,56.83,1.09,32.79,5.46,1.09,4.37,180.32,0,0,3.28,4.37,0,1.09,26.23,18.58,3.28,1.09,0
108-118,0.77,0,0,1070.05,3.06,0,35.23,6.13,530.05,36,24.51,45.96,0,2.3,24.51,41.36,0,31.4,2.3,0,335.49,8.43,3.06,62.81,52.09,0.77,28.34,7.66,0,1.53,138.64,0,0,7.66,9.19,0,0.77,32.94,22.98,3.83,1.53,0.77
120,0,0,0,621.25,1.96,0,39.2,13.72,317.49,25.48,21.56,25.48,0,0,25.48,17.64,0,15.68,1.96,0,239.09,15.68,3.92,68.59,54.87,0,9.8,7.84,0,3.92,137.18,0,0,3.92,0,0,0,7.84,11.76,3.92,1.96,0
