stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,mesenchyme,mural.cell,muscle,neural,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,7,0,2,0,0,0,0,0,0,6,2,0,1,0
 24-34,0,4.1,0,8.21,0,0,0,0,0,0,34.48,0.82,0,0,0
 36-46,0,0.81,0,6.45,0,0,0,0,0,0,76.54,1.61,0,0,0
 48-58,0,0,2.3,4.02,0.57,0,0,1.15,0,0,75.17,1.72,0,0.57,0
 60-70,0,0,0,9.82,0,0.98,0,0,0,0,74.6,3.93,0,4.91,0
 72-82,0,0,5.89,5.89,0,0.98,0,0.98,0,0,70.68,1.96,0,7.85,0.98
 84-94,0,1.06,3.19,7.43,1.06,1.06,1.06,1.06,0,1.06,43.54,5.31,0,5.31,0
 96-106,0,0,3.28,5.46,0,0,0,0,0,0,41.53,6.56,0,0,0
108-118,0,0.77,2.3,26.81,0,0,0,0,0.77,0,68.17,6.13,0,1.53,0
120,0,0,3.92,15.68,0,0,0,0,0,0,62.71,5.88,1.96,0,0
