stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,2,0,0,0
 24-34,0,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0.82,13.13,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,2.42,13.7,0,0,0,0,0,0,0,4.83,0,0.81,0
 48-58,0,0,0.57,0,0.57,0,0,0.57,0,0,0,0,0,0,5.16,0,0,2.87,5.16,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0.98,0.98,0,0,0,0,0,2.94,0,0,0.98,2.94,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0,0.98,0,0,1.96,0,3.93,0,0.98,0,7.85,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,2.12,1.06,0,1.06,0,0,0,0,2.12,0,0,0,1.06,0,0,0,4.25,0,0,0,3.19,0,1.06,0,0,0,1.06,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,2.19,0,0,0,5.46,1.09,0,0,2.19,0,0,0,5.46,0,0,0,0,1.09,2.19,1.09
108-118,0,0.77,6.89,0,0,0.77,0,0.77,1.53,0,0.77,0,1.53,0.77,4.6,0,0,0,3.06,0,0.77,0.77,0.77,0,0,0,0,0,1.53,0
120,0,0,1.96,0,0,0,0,0,1.96,0,1.96,3.92,0,0,1.96,0,0,0,0,0,1.96,0,31.36,0,0,0,0,0,1.96,0
