stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,144.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0
 24-34,0,0,4.93,0,1.64,0.82,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,123.95,0,0.82,0,0,0,0,0,0,0,62.39,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,12.09,0,0.81,0,0,0,0,0,0,0,1.61,0,0,6.45,0,0,4.03,383.5,0,0.81,2.42,0,0,0.81,0,0,0,103.93,0,0,0,0,0
 48-58,0,0,1.15,0,4.02,0.57,0,61.4,0.57,1.15,0.57,18.36,0,0.57,0,0,0.57,0,0.57,0,21.23,0.57,0,4.59,789.56,1.72,0.57,0.57,0.57,0,2.3,0,0,0,138.29,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,223.79,0,0.98,4.91,24.54,0,0,0,0,0,0.98,0,0,32.39,0,0,1.96,1448.73,0.98,0,0.98,0,0,1.96,0,0,0,193.36,0,0.98,3.93,0,0.98
 72-82,0,0,2.94,0,14.72,7.85,0,482,0,0,4.91,69.7,0.98,0,0.98,0,0,0.98,0,1.96,88.35,0,1.96,9.82,1787.61,0,3.93,0.98,0,0.98,3.93,0,1.96,0.98,176.7,0,15.71,1.96,1.96,0
 84-94,0,0,1.06,0,16.99,1.06,0,363.22,1.06,0,3.19,43.54,1.06,1.06,0,0,2.12,1.06,1.06,0,64.78,0,4.25,8.5,967.52,0,2.12,6.37,0,0,4.25,0,1.06,0,92.4,1.06,18.05,4.25,5.31,1.06
 96-106,0,0,4.37,0,21.86,6.56,1.09,380.31,0,3.28,4.37,56.83,1.09,0,3.28,1.09,0,4.37,1.09,0,63.39,0,2.19,6.56,930.01,0,2.19,3.28,0,0,7.65,0,0,0,37.16,1.09,14.21,2.19,1.09,0
108-118,0,0,1.53,0,12.26,1.53,0.77,346.22,0.77,0.77,2.3,45.96,3.06,1.53,0.77,0.77,1.53,1.53,3.06,0,49.02,0,0,3.83,1192.6,2.3,3.06,4.6,0,0,2.3,0,1.53,0,45.19,1.53,4.6,2.3,3.06,0
120,0,0,1.96,0,11.76,3.92,1.96,348.84,1.96,0,1.96,47.03,0,0,0,1.96,0,1.96,1.96,0,62.71,0,3.92,9.8,1501.2,0,1.96,5.88,0,0,3.92,0,0,0,72.51,0,5.88,1.96,0,1.96
