stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1080.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,13,1,2,1,7,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,81.26,0,0,0,10.67,0,0.82,0.82,38.58,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,3.22,0,0,0.81,0,0,0,0,0.81,0,0,0,268.29,0,0,0,4.03,0,0,0,70.9,0,0,0,0,0
 48-58,0,0,0.57,1.72,0,0,25.25,0,0,0,10.33,0,0,0,0,0.57,0,0,5.74,0,0,0.57,347.15,0.57,0,0,4.02,0,0,0,61.97,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,128.58,0,0,0,58.89,0,0.98,0,0.98,0,0,0,4.91,0,0.98,0.98,623.27,0,0,0,11.78,0,0.98,0,87.36,0,0,0,0,0
 72-82,0,0,0.98,4.91,0.98,0,206.15,0,0,0.98,95.22,0.98,0,0,0,0,0.98,0.98,11.78,0.98,0,0,525.19,0,1.96,0,17.67,0,0,0,36.32,0,0,0.98,0,0.98
 84-94,0,0,1.06,1.06,1.06,0,111.51,0,0,1.06,44.61,0,1.06,1.06,2.12,0,0,0,7.43,0,1.06,0,245.33,0,1.06,0,23.36,0,1.06,0,28.68,1.06,0,1.06,1.06,1.06
 96-106,0,0,1.09,7.65,0,1.09,112.56,0,3.28,0,60.11,0,0,0,1.09,0,1.09,0,10.93,0,0,1.09,242.61,1.09,1.09,0,66.66,0,0,0,8.74,0,0,3.28,0,0
108-118,0,0,0.77,1.53,1.53,0,79.66,0.77,2.3,0,62.04,0,0,0,1.53,0,0.77,0.77,6.89,0.77,0,0,229.02,0.77,1.53,0,42.89,0,0,0,10.72,0.77,0,1.53,0.77,0
120,0,0,0,1.96,1.96,0,62.71,0,1.96,0,47.03,3.92,0,0,0,0,0,0,13.72,0,3.92,0,235.17,0,3.92,0,35.28,0,0,0,7.84,0,1.96,1.96,0,0
