stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0,0.82,0,56.64,0,0,0,0,0,0,20.52,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,170.8,0,0,0,0.81,0,0,39.48,0,0
 48-58,0,0,0,0,0,5.16,0,0,1.72,0,0,0,2.87,0.57,210.01,0,0,0,0,0,0,36.15,0,0
 60-70,0,0,0,0.98,0,24.54,0.98,0,1.96,0,0,0,1.96,0,455.43,0,0,0,0,0,0,48.09,0,0
 72-82,0,0,0,0,1.96,52.03,0,0.98,4.91,0.98,0,0.98,6.87,0,425.06,0,0,0,0,0,1.96,37.3,0,0
 84-94,0,0,0,3.19,0,36.11,0,1.06,7.43,0,0,0,2.12,1.06,206.04,1.06,1.06,0,0,0,0,23.36,0,0
 96-106,0,0,0,1.09,0,33.88,0,1.09,2.19,0,0,0,3.28,0,183.6,0,0,0,0,0,0,8.74,1.09,0
108-118,0,0,0,3.83,0,20.68,0,0,3.06,0,0,0,2.3,0,173.11,0.77,0,0,0,0,0,3.06,0,0.77
120,0,0,0,1.96,0,9.8,0,0,7.84,1.96,1.96,0,1.96,0,205.78,0,0,0,0,0,0,3.92,0,0
