stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,224.02,3268.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0
  5-6,214.54,1477.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,6.13,85.81,0,0,0,0,0,0,0
  7-9,5.26,2.63,10.51,0,13.14,0,0,0,15.77,0,0,0,0,0,0,0,126.18,2.63,0,0,36.8,0,21.03,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,9.44,0,12.59,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,1,0,0,0
 24-34,0,0,0,2.46,0.82,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0.82,0,2.46,0,1.64,0
 36-46,0,0,0,0.81,1.61,0.81,0,0,0,0,0,0.81,0,0,0,0,5.64,0,0,0,0,1.61,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,1.15,0,0,0,0.57,0,5.16,0
 60-70,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,2.94,0.98,0,4.91,0,0,1.96,0,0,0,0,0,0.98,0,2.94,0
 72-82,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,2.94,0,0,0.98,0,0,0,0,0,0,0.98,2.94,0
 84-94,0,0,0,7.43,11.68,2.12,0,1.06,1.06,0,1.06,0,0,2.12,0,0,1.06,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,4.37,15.3,3.28,1.09,0,0,0,1.09,0,1.09,3.28,0,2.19,5.46,0,1.09,1.09,0,1.09,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,6.13,13.02,0,0.77,0.77,0,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,3.92,5.88,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
