stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,20,6,0,8,0,0,2,1,0,0,0,0,0,0,0,7,0,0,1,65,0,0,1,2,1,10,1,13,23,0,0,0,0
 24-34,0,0.82,0.82,4.93,0,0,4.93,0,0,1.64,0,0,0,0,0,0,0,0,4.93,0,0,1.64,54.18,0.82,0,1.64,0,0,0,0,1.64,13.95,0,0,1.64,0
 36-46,0,0,0,3.22,0,0,4.83,1.61,0,4.03,0,0,0,0,0,0,0,0,8.06,0,0,2.42,33.84,0.81,0,0,0,0.81,0,0,0,11.28,0,0,1.61,0
 48-58,0,0,0,0.57,0,0,16.64,0.57,0.57,4.59,0.57,0,0.57,0,0,0.57,0,0,16.64,0.57,0,2.3,28.69,0.57,0,1.15,0,1.15,0,0,0,9.18,0,0,1.72,0
 60-70,0,0,0,0,0,0,8.83,0,0,1.96,0.98,0,0,0,0,0,0,0.98,6.87,0,0,0.98,7.85,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0.98,0,0,2.94,0,0,3.93,0,0.98,0,0,0,0,0,0,14.72,0,0,1.96,16.69,0,0.98,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,3.19,0,0,0,1.06,0,1.06,0,1.06,0,0,1.06,3.19,0,0,1.06,5.31,0,0,2.12,0,3.19,0,0,0,0,2.12,0,2.12,0
 96-106,0,0,0,2.19,0,0,4.37,0,0,1.09,1.09,0,0,1.09,0,1.09,0,0,7.65,0,1.09,2.19,6.56,0,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0.77,0.77,0.77,2.3,0,0,1.53,0,0,0,0,0,4.6,0,0,0,6.13,0,0,3.06,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,7.84,1.96,0,3.92,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,5.88,7.84,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0
