stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,16.42,0,0,0,0,0,4.1,1.64
 36-46,0,0,0,2.42,0.81,0,0,0,0.81,10.47,0,0,0,0,0,1.61,0
 48-58,0,0,0,3.44,0.57,1.15,0,0.57,0.57,2.87,0,0,0,0,0,1.15,0
 60-70,0,0,0,3.93,1.96,2.94,0,0,0,5.89,0,0,0,0,0,0.98,0
 72-82,0,0,1.96,1.96,0.98,5.89,0,0.98,0,3.93,0,0.98,0,0,0,0.98,0
 84-94,0,0,1.06,0,1.06,4.25,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,1.09,3.28,0,0,0,2.19,0,1.09,0,2.19,0,0,1.09
108-118,0,0,0,1.53,0,0.77,0,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,0,0,0
