stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,134.62,0,0,0.82,0,1.64,0,0,0,2.46,0,0,0,0,0,0,0,0.82,1.64,0,0.82,10.67,0,0,0,0,0.82,0,0,0,0.82,2.46,0,0,0,0,0
 36-46,0,0,0,367.39,0,0,2.42,0,15.31,0.81,3.22,0,0,0,0,0,0,0.81,0,0,4.03,4.83,0,0,20.95,0,0.81,0,0,0.81,0,0,0,0,6.45,0,0,0,0,0.81
 48-58,0,0,0,529.62,0,0,27.54,0,66.56,0.57,6.89,0,0,0,0,0,0,0.57,0,0,10.33,4.59,0,3.44,56.81,0,0.57,0,0,1.15,0,0,0,0,14.35,0,0,0.57,0,1.72
 60-70,0,0,0,752.83,0,0,43.19,0,107.97,0.98,7.85,1.96,0,0,0,2.94,0,0,0,0.98,25.52,13.74,0,1.96,60.85,0,2.94,0,0.98,3.93,0,0.98,0,0,21.59,2.94,0.98,0.98,0.98,0.98
 72-82,0,0,0,942.4,1.96,0,49.08,0,137.43,0.98,7.85,7.85,0,0.98,0.98,12.76,0,4.91,0.98,0,25.52,13.74,2.94,2.94,97.18,0,11.78,0.98,0,5.89,0.98,0,0,0,4.91,16.69,0.98,6.87,3.93,1.96
 84-94,0,0,2.12,1894.67,5.31,0,39.3,1.06,378.09,0,6.37,24.43,0,1.06,1.06,15.93,1.06,2.12,1.06,0,20.18,25.49,0,3.19,55.23,1.06,21.24,1.06,0,13.81,0,1.06,0,0,6.37,75.4,0,2.12,4.25,1.06
 96-106,0,0,1.09,2516.83,24.04,4.37,83.06,3.28,432.77,4.37,32.79,76.5,0,3.28,9.84,28.41,1.09,7.65,8.74,0,60.11,48.09,5.46,6.56,205.46,1.09,32.79,3.28,2.19,57.92,1.09,0,0,0,10.93,121.31,3.28,6.56,7.65,4.37
108-118,0.77,0,3.06,2630.32,8.43,6.13,61.28,1.53,641.11,3.06,25.28,96.51,0,0,4.6,35.23,1.53,3.06,4.6,0.77,49.79,26.81,3.06,6.89,160.09,1.53,34.47,3.83,0.77,34.47,0,2.3,0.77,0,7.66,123.32,1.53,9.19,3.06,3.06
120,1.96,0,0,1951.95,11.76,1.96,35.28,1.96,421.35,0,13.72,23.52,0,0,1.96,11.76,1.96,5.88,1.96,0,31.36,29.4,0,7.84,160.7,0,23.52,3.92,0,19.6,0,1.96,0,0,0,35.28,1.96,1.96,1.96,0
