stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,309,0,0,0,0,0,1,2,0,1,1,257,0,0,0,0,0
 24-34,0,0,0,0.82,8.21,0.82,0,8.21,0,0.82,0,9.03,0.82,0,0,0,0,0.82,1.64,0,7.39,0,0,5.75,503.18,1.64,4.1,3.28,0,0,2.46,0,0,1.64,1.64,432.59,0,0,4.1,0,0.82
 36-46,0,0,0,0,4.03,0,0,20.95,1.61,0.81,0,56.4,0,0,1.61,0.81,0,0.81,0,0,14.5,0.81,0,2.42,543.02,0.81,2.42,3.22,0,0,4.03,0,0.81,0,0,485.01,0,0,0.81,0,1.61
 48-58,0.57,0,0,0,5.74,0,0,72.3,0,0.57,0,91.23,0,0.57,0.57,0,0.57,0,0.57,0,29.26,0,1.72,4.59,622.58,1.15,1.72,1.72,0,0,4.59,0,0,0,0,375.27,0,0,1.15,0,1.72
 60-70,0,0,0,0,8.83,0,0,61.84,0,1.96,2.94,43.19,0,0.98,0,0,0,0.98,0,0.98,22.58,0.98,0,2.94,553.58,0,1.96,0,0,0,1.96,0,0,0,0,200.23,0,0,0.98,0,1.96
 72-82,0,0,0.98,0,11.78,7.85,0,94.24,0.98,0,1.96,66.75,1.96,0,0.98,0,0.98,0.98,0.98,0,73.62,0,0.98,2.94,558.57,0.98,1.96,4.91,0,0.98,0,0,1.96,0,0,153.14,2.94,0,2.94,0,3.93
 84-94,0,0,0,0,13.81,0,0,60.54,0,2.12,1.06,35.05,0,0,2.12,1.06,1.06,0,0,0,14.87,0,4.25,2.12,384.46,0,2.12,2.12,0,0,3.19,0,0,1.06,0,73.28,0,3.19,0,1.06,2.12
 96-106,0,0,0,0,16.39,4.37,1.09,46.99,2.19,1.09,0,25.14,3.28,0,2.19,1.09,1.09,0,1.09,0,41.53,1.09,0,1.09,332.23,1.09,2.19,3.28,0,0,5.46,0,0,0,0,52.46,0,0,0,2.19,1.09
108-118,0,0,0,0.77,6.89,1.53,0,22.98,0.77,0.77,0,29.87,0,0.77,2.3,0,0,0,0.77,0,23.74,0,0.77,2.3,418.22,0,0,1.53,0,0.77,2.3,0,0.77,0,0,55.15,0.77,0,0,0,0.77
120,0,0,0,0,13.72,0,0,25.48,0,0,0,27.44,0,0,0,0,0,0,0,0,11.76,0,0,1.96,374.32,0,0,1.96,0,0,3.92,0,0,0,0,60.75,0,0,1.96,0,0
