stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,250.38,4177.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,2218.93,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,459.72,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,13.14,0,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,228.7,7.89,0,0,60.46,0,105.15,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,129.03,12.59,0,0,34.62,0,56.65,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,1,2,14,13,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,35,25,2,0,1,0,275,0,2,1,0,19,0,0,0,0,0
 24-34,0,0,4.1,0.82,14.78,2.46,0,8.21,0,0,0,2.46,0.82,0,0.82,0,52.53,0,2.46,0.82,0,4.93,13.13,0,0.82,141.19,13.13,13.13,6.57,0,0,339.01,0,0,1.64,0.82,55,0,0,1.64,0,0
 36-46,0,0,0,0,4.83,0,0,8.86,0,4.03,0,7.25,0.81,0.81,0.81,0,29.81,0,3.22,0,0.81,4.83,4.03,0,0.81,339.99,16.11,15.31,4.83,0,0,257.81,0,0,1.61,0,82.98,0,0,2.42,0,0.81
 48-58,0,0,0.57,0,12.05,0,0,35,0.57,3.44,0,12.05,1.15,0.57,0,0,9.18,0.57,2.87,1.72,0,5.74,8.61,0,1.72,425.19,8.03,8.61,11.48,0,0,215.18,0,0,0,0,80.33,0,0.57,0.57,0,0
 60-70,0,0,1.96,0,19.63,0,0,116.8,0,4.91,0,30.43,4.91,0,0,0,9.82,0,11.78,0.98,0,13.74,5.89,0,0.98,641.92,7.85,13.74,13.74,0,0.98,232.62,0,0,0,0,67.73,0.98,0,0,0,2.94
 72-82,0,0,4.91,0,42.21,1.96,0,159.03,0,0,2.94,40.25,25.52,0,1.96,1.96,16.69,0,15.71,1.96,0.98,38.28,11.78,1.96,0,547.77,4.91,17.67,17.67,0,0,178.66,0,0,0.98,0,44.17,10.8,0,0.98,0,0.98
 84-94,0,0,6.37,0,65.85,1.06,1.06,123.2,0,8.5,2.12,39.3,28.68,2.12,0,2.12,38.23,2.12,16.99,6.37,0,24.43,8.5,1.06,0,286.75,15.93,20.18,33.99,0,0,551.2,0,0,2.12,0,21.24,29.74,0,0,0,1.06
 96-106,0,0,5.46,0,97.26,5.46,1.09,101.63,0,5.46,0,20.76,48.09,0,0,0,33.88,0,31.69,6.56,0,26.23,14.21,0,0,269.93,12.02,30.6,45.9,0,0,480.85,1.09,0,1.09,0,12.02,34.97,0,1.09,0,1.09
108-118,0,0,3.83,0,72,1.53,7.66,67.4,0,4.6,0,13.79,39.06,0,0.77,0.77,34.47,1.53,22.21,3.83,0.77,22.98,6.89,0.77,0.77,261.96,16.09,16.85,27.57,0,0,285.7,0,0,0.77,0.77,7.66,32.17,0.77,0.77,0.77,0
120,0,0,5.88,0,94.07,0,1.96,50.95,0,7.84,0,13.72,33.32,0,0,0,17.64,0,11.76,5.88,0,11.76,7.84,0,1.96,292.01,29.4,19.6,19.6,0,0,217.54,0,0,1.96,0,11.76,17.64,0,0,0,0
