stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,52.71,1278.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,79.69,1158.5,0,0,0,0,0,0,12.26,0,0,0,0,0,55.17,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,7.89,5.26,15.77,0,0,34.17,0,0,13.14,0,0,0,0,0,320.7,13.14,0,0,115.66,0,2.63,0,0,0,0
 10-12,0,9.44,12.59,0,3.15,18.88,0,0,0,0,0,0,0,0,138.47,3.15,0,0,66.09,0,0,0,3.15,0,0
 14-21,0,0,0,2,1,2,0,0,0,0,0,1,0,0,17,0,0,0,1,0,0,4,0,0,5
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0,0,17.24,0.82,0,0,0,0,0,0,0,0.82,4.93
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,1.61,0,0.81,4.03,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,3.44,0,0,0,0,0,1.72,0,0,3.44,0,0,0.57,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,2.94,0,0,0,0,0.98,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,1.06,2.12,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
