stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,2,5,1,0,0,0,1,2,0,0,0,3,0,1,0
 24-34,0,0,1.64,0.82,0,11.49,0,0,0,0,0,0,26.27,0,0.82,0,0,3.28,0,0.82,0,19.7,0,0.82,0.82,0,2.46,0,0,0,0.82,3.28,0,4.93,7.39
 36-46,0,0,1.61,0,0,4.03,0,0,0,0,0,0,37.06,0,0.81,0,0,3.22,0,0.81,0,8.86,0,0,0.81,0,0.81,0,0,0.81,0,1.61,0,2.42,4.03
 48-58,0,0.57,1.15,0,0,4.59,0,1.15,1.15,0,0,0,32.71,0,0,0,0,1.72,0,0,0,9.18,0,0,0,0,0,0,0,0.57,0,1.72,0,1.72,2.3
 60-70,0,0.98,0,0,0,10.8,0,0.98,2.94,0,0,0,28.46,0,1.96,1.96,0,0.98,0,0,0,15.7,0,0,2.94,0,0,0,0.98,0,0,1.96,0.98,0.98,0.98
 72-82,0,0.98,0.98,0,0,14.72,0.98,0,2.94,0.98,0.98,0.98,57.92,0.98,0,0,0,0,3.93,0,0.98,14.72,0,0,2.94,0,0.98,0,0,0,0,0,1.96,3.93,5.89
 84-94,0,1.06,1.06,0,1.06,9.56,0,1.06,3.19,0,1.06,1.06,64.78,1.06,2.12,1.06,0,2.12,2.12,0,1.06,12.74,0,0,3.19,0,3.19,0,0,0,0,1.06,0,2.12,1.06
 96-106,0,1.09,0,0,0,7.65,0,2.19,2.19,0,0,0,63.39,0,0,0,1.09,1.09,3.28,0,0,8.74,0,0,1.09,0,1.09,0,1.09,0,0,0,0,3.28,0
108-118,0,3.83,3.83,0,0.77,5.36,0,1.53,3.06,1.53,0,0,50.55,0,0.77,0.77,0.77,0.77,3.83,0,0,4.6,0,0,0,0,0,0,0.77,0,0,0.77,0,2.3,0
120,0,1.96,3.92,0,0,9.8,1.96,0,3.92,0,0,1.96,54.87,0,0,0,3.92,1.96,5.88,0,0,11.76,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,0
