stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,13.14,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,1,0,19,0,0,0,0
 24-34,0,0,0,1.64,0,0,3.28,0,0,0,2.46,0,0,0,0,0,0,0,4.1,0,1.64,197.01,0,0.82,3.28,0,3.28,0,47.61,0,3.28,0,0.82
 36-46,0,0,0,0,0,0,5.64,0,0,0,4.03,0,0,0,0,0,0,0,4.83,0,0.81,480.18,0.81,2.42,0,0,2.42,0,68.48,0,0,0,0
 48-58,0,0,0,0,2.3,0.57,37.87,0,0,0,14.35,0,0,0,0,0.57,0,1.15,12.62,0,1.72,467.65,0.57,1.15,1.72,0,3.44,1.15,44.18,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,27.48,0,0,0.98,5.89,0.98,0,0,0,0,0,0,7.85,0,0.98,314.09,0.98,0.98,4.91,0,2.94,0,15.7,0.98,0.98,0,0
 72-82,0,0,0.98,0,1.96,1.96,35.34,0,0.98,0,14.72,0,0,0,0.98,0.98,0,0,10.8,0.98,0,240.51,0,0.98,2.94,0,0.98,0,4.91,0,1.96,0.98,2.94
 84-94,0,0,0,0,0,0,37.17,0,0,2.12,4.25,0,0,1.06,1.06,1.06,0,0,3.19,1.06,1.06,131.69,1.06,0,11.68,0,2.12,0,6.37,0,1.06,0,0
 96-106,0,0,0,0,4.37,0,17.49,0,0,1.09,3.28,1.09,0,0,1.09,6.56,1.09,0,7.65,0,0,125.68,0,0,18.58,0,2.19,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0,6.13,0.77,19.15,1.53,0.77,0,1.53,0,0,0,0,4.6,0,0,3.83,0.77,0.77,98.81,0.77,0,17.62,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,3.92,0,27.44,0,0,0,3.92,0,0,0,0,0,1.96,0,5.88,0,0,137.18,0,0,9.8,0,0,0,0,0,0,0,0
