stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,otic,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0.82,0,0,0.82,5.75,0.82,0.82,0.82,0,0.82,0
 36-46,0,1.61,0,0,0.81,0,0.81,0,0,0,0.81,12.89,0,1.61,1.61,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,0,0,0.57,0.57,7.46,0,0.57,2.3,0,0,0
 60-70,0,0.98,0,0,3.93,2.94,0,0,0,0.98,0,8.83,0,0.98,0,0,1.96,0
 72-82,0,1.96,0.98,0,6.87,2.94,0,0,0,1.96,0,11.78,0,0.98,0.98,0.98,2.94,0
 84-94,0,0,0,0,3.19,0,0,0,2.12,0,0,6.37,0,0,0,0,0,2.12
 96-106,0,1.09,0,0,1.09,1.09,0,0,0,0,0,6.56,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0,0,0,0,0.77,0.77,3.83,0,0,0,0,0,0
120,0,0,0,1.96,1.96,3.92,0,0,0,0,0,7.84,0,1.96,0,0,0,0
