stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,711.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,300.35,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,42.06,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,0,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,2,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,3,31,1,0,0,0,1,0,7,1,11,15,4,0,0,1,0,1
 24-34,0,0,0.82,0.82,1.64,0.82,0,13.95,0,0,0,0,0,0,0,0.82,0.82,0,2.46,2.46,0.82,7.39,0.82,0,9.85,96.86,2.46,0,0.82,0.82,1.64,0,0,2.46,3.28,3.28,11.49,0,0,9.85,0,2.46
 36-46,0,0,0,0.81,0.81,0,0,12.09,1.61,0,0,0.81,0,0,0,0,0,0,0,0.81,0,5.64,0,0,3.22,106.35,0,0,0,0,0.81,0.81,0,1.61,1.61,0.81,18.53,0,0,8.86,0,0
 48-58,0,0,0,0,1.15,0.57,0,22.38,2.87,0.57,1.15,2.3,1.72,0,0,0.57,0,0.57,2.3,0,0,5.16,0,0,4.59,133.7,0,0.57,0,0,0.57,0,0,0,1.15,0,16.07,0,0,5.74,0,0
 60-70,0,0,0,0,0,0,0,52.02,4.91,0.98,1.96,1.96,1.96,0,0,0.98,0,0,2.94,0,0,4.91,0,0,2.94,309.18,0,0,0,0.98,0,0,0,0,1.96,0,25.52,0,0,3.93,0.98,0.98
 72-82,0,0,0.98,0,2.94,3.93,0,60.86,4.91,0,0,8.83,1.96,0,0,0.98,0.98,2.94,0.98,3.93,0,19.63,0,0,2.94,263.09,0,0.98,0,0,0,0,0,0.98,0,0,22.58,0,0.98,5.89,0.98,0
 84-94,0,0,0,0,5.31,1.06,0,33.99,4.25,0,0,7.43,4.25,0,0,0,1.06,3.19,2.12,0,0,9.56,0,0,3.19,124.26,0,1.06,1.06,0,3.19,0,0,1.06,1.06,0,14.87,0,0,3.19,0,0
 96-106,0,0,1.09,0,3.28,2.19,0,46.99,5.46,0,0,4.37,4.37,0,0,3.28,1.09,10.93,4.37,0,0,9.84,0,1.09,0,125.68,0,0,2.19,0,4.37,0,0,3.28,1.09,0,7.65,1.09,0,5.46,0,0
108-118,0,0,1.53,0.77,6.13,3.06,2.3,30.64,4.6,0,1.53,1.53,3.06,0,0,1.53,0.77,13.79,10.72,0,0,14.55,0,0,3.83,144,0,0,0.77,0,0,0,0,0,5.36,0,3.83,0,1.53,6.89,0,0.77
120,0,0,0,0,15.68,3.92,0,33.32,9.8,3.92,0,5.88,1.96,0,1.96,0,0,1.96,9.8,0,0,11.76,0,0,3.92,121.51,0,0,3.92,0,1.96,0,1.96,0,0,0,7.84,0,0,7.84,0,1.96
