stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,3,0,0,0,0,0,0,0,0,9,0,2,0,1,1,1,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0.82,1.64,4.93,0.82,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,1.61,0.81,0,0,0,2.42,0.81,8.86,1.61,0,0.81,0,0,0,2.42,0,0,0,0
 48-58,0,0,0.57,0,0.57,0,0,1.72,0,4.02,0,0.57,0,0,0,0,1.72,0,0,0,0
 60-70,0.98,0.98,6.87,0,0.98,0,0,1.96,0,9.82,1.96,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,1.96,6.87,0,2.94,0,0,1.96,0,14.72,0.98,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,1.06,2.12,0,0,0,1.06,1.06,0,5.31,0,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,5.46,2.19,0,2.19,1.09,0,4.37,0,12.02,2.19,0,0,0,0,0,1.09,0,0,1.09,2.19
108-118,0,0.77,0,0,0.77,0,0,0.77,0.77,4.6,0,0,0.77,0,0,0,0,0,0.77,0,0
120,1.96,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
