stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,1,0,4,0,0,1,0,0,17,0,0,0,0,7,0,1,0
 24-34,0,0,0,0,0,2.46,0,0,0,13.95,0,0,3.28,0,0,13.13,0,0,0,0.82,1.64,0,4.1,0
 36-46,0,0,0,0,0,4.03,0,0,0,16.11,0,0,1.61,0,0.81,27.39,0,0,0,0,3.22,0,1.61,0
 48-58,0,0,0,0,0,4.59,0,0,0,21.8,0,0,1.72,0.57,0.57,21.8,0,0,0,0,2.3,0,1.15,0
 60-70,0,0,0,0,0,7.85,0,0,0,42.21,0,0,0,0,0,15.7,0.98,0,0,0,0,0,3.93,0
 72-82,0,0,0,0,0,12.76,0.98,0,0,53.01,0,0.98,3.93,0,0,25.52,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,0,1.06,8.5,1.06,0,0,86.03,0,0,2.12,1.06,0,13.81,1.06,0,1.06,0,1.06,1.06,6.37,0
 96-106,0,0,0,0,0,0,0,0,0,115.84,0,0,1.09,1.09,0,3.28,0,0,1.09,0,0,0,8.74,0
108-118,0,0,0,0,0.77,0.77,2.3,0,0,81.19,0.77,0,1.53,0,0,13.02,0,0,0,0,0,0.77,9.96,0.77
120,0,0,0,1.96,0,0,1.96,0,0,74.47,0,0,3.92,0,0,5.88,0,0,0,0,0,0,9.8,0
