stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,immune,neural,paraxial.mesoderm,spinal.cord,vasculature
  5-6,0,36.78,0,0,0,0,0,0,6.13,0,0
  7-9,2.63,0,0,0,7.89,5.26,0,26.29,7.89,0,0
 10-12,0,0,3.15,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,1.64
 36-46,0,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0,0,0,0,14.72,0,0,0,0
 84-94,0,0,0,0,0,0,19.12,0,0,0,1.06
 96-106,0,0,0,0,0,0,24.04,0,0,1.09,1.09
108-118,0,0,0,0,0,0,16.85,0.77,0,0,0
120,0,0,0,1.96,0,0,17.64,1.96,0,0,1.96
