stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,30.65,12.26,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,7.89,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,97.56,0,37.76,0,6.29,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,75.53,44.06,0,0,15.73,0,0,0,3.15,103.85,0,0,0,0,0
 14-21,0,1,0,8,47,338,0,1,0,0,1,62,1,1,0,0,0,0,258,0,0,110,86,22,0,1,14,0,1,0,23,2,14,19,0,8,0
 24-34,0,0,0,0.82,11.49,10.67,0,0.82,0,6.57,0,0,0,3.28,0,0,13.13,0.82,109.99,0,0.82,25.45,18.06,0,0,3.28,0,0.82,0,0,0,0,0.82,1.64,0,15.6,0
 36-46,0,0,0,0,3.22,0.81,0,1.61,0,5.64,0.81,0,0,3.22,0,0,7.25,0,45.92,0,0,7.25,10.47,0,0.81,5.64,0,0,0,0.81,0,0,0,1.61,0.81,8.06,0
 48-58,0,0,0,0,0.57,0.57,0,2.3,0.57,4.02,0,0.57,0,3.44,0,0,10.33,0.57,26.4,0,0.57,1.72,5.16,0,0,5.74,0,0,0,0,0,1.15,0,0.57,0.57,6.31,0
 60-70,0,0,0,0,1.96,0,0,0,0.98,2.94,0,0.98,0,3.93,0,0,9.82,0,27.48,0,0,0.98,1.96,0,0,4.91,0,0,0,0,0,0,0,0,3.93,2.94,0
 72-82,0,0,0,0,1.96,0,0,1.96,0,2.94,1.96,0.98,0,3.93,0,0,17.67,0,25.52,0,0,0,6.87,0,0,7.85,0,0,0,0,0,0,0,0,3.93,10.8,0
 84-94,0,0,2.12,0,1.06,0,1.06,6.37,0,2.12,1.06,1.06,0,4.25,0,0,19.12,0,20.18,0,0,0,3.19,0,0,6.37,0,0,0,0,0,0,0,0,1.06,8.5,0
 96-106,0,0,4.37,0,0,1.09,0,1.09,0,2.19,0,3.28,0,6.56,1.09,0,39.34,0,33.88,0,0,1.09,4.37,0,0,14.21,0,0,1.09,0,0,0,0,0,1.09,6.56,2.19
108-118,0,0,2.3,0,1.53,0,0,0,0,3.06,0.77,0.77,0,0,0,0,31.4,0.77,33.7,0.77,0.77,1.53,7.66,0,0.77,19.92,0,0,0.77,0,0,0,0,0.77,0.77,6.89,0
120,0,0,1.96,0,1.96,1.96,0,0,0,0,1.96,0,0,1.96,0,1.96,25.48,0,25.48,0,0,0,3.92,0,0,9.8,0,0,1.96,0,0,0,0,0,0,3.92,0
