stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,3,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0.82,4.93,0,0,14.78,0.82,0.82,0,0,0,0
 36-46,0,0,4.03,0,0,0.81,0,4.03,0,0,0,0.81,0,0.81,0,0,0,1.61,0,0,0,8.06,0.81,0,8.86,0,0,0,0,0,0
 48-58,0,0,5.74,0,0,0,0,0.57,1.15,0,0,5.16,0,0,0.57,0,0,9.18,0.57,0,0,5.74,0,0,3.44,0,1.15,0,0,0,0
 60-70,0,0,3.93,0,0,2.94,0,2.94,0,0,0,4.91,0.98,1.96,0,0,0,8.83,0,0.98,0.98,22.58,0,0,8.83,0,0,0,0.98,0,0
 72-82,0,0,10.8,0,0,5.89,0.98,0,0,0.98,0,7.85,2.94,10.8,0.98,0,0,35.34,0.98,0.98,0,21.6,0,0,9.82,0,0,1.96,0,0,0
 84-94,0,0,16.99,0,0,4.25,0,1.06,0,1.06,1.06,2.12,3.19,18.05,0,1.06,1.06,40.36,0,1.06,0,15.93,0,2.12,21.24,0,0,9.56,0,1.06,0
 96-106,0,1.09,20.76,0,1.09,3.28,0,1.09,0,1.09,1.09,5.46,5.46,26.23,3.28,1.09,0,39.34,0,1.09,0,15.3,5.46,2.19,26.23,0,0,4.37,0,1.09,1.09
108-118,0,0,30.64,0.77,0,0.77,0,6.89,0,0,0.77,3.06,11.49,18.38,0.77,1.53,0,23.74,1.53,0,0,13.79,0,0,22.21,0,0,4.6,0,1.53,0
120,0,0,29.4,0,0,1.96,0,11.76,0,0,0,0,11.76,15.68,3.92,0,0,29.4,1.96,0,0,23.52,0,0,9.8,0,0,0,0,0,0
