stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,1,2,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.4,0.82,0,0,0,0,0,0,0,21.34,0,0,0,0
 36-46,0,0.81,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0.81,85.4,0,0,0,0,0.81,0,0.81,0,25.78,0,0,0,0
 48-58,0,0.57,0,0,6.31,0,0,2.87,0,0,0,0,0.57,0,0,0,2.87,0,0,161.24,0,0.57,0,0,1.72,0,0,0,32.13,0,0,0,1.15
 60-70,0,0.98,0,0,73.61,0.98,0,0.98,0,0,0,0,0,0,0,0,3.93,0.98,1.96,241.45,0,0,0,0,0,0,0,0,29.45,0,0,0,0
 72-82,0,3.93,0,0,346.53,0,0,11.78,0,1.96,0,0.98,0.98,0,0,0,9.82,0.98,0,452.55,0,0,0,0,0,0,0,0,47.12,0,0,0.98,0.98
 84-94,0,1.06,0,0,185.86,0,1.06,13.81,1.06,0,1.06,1.06,0,0,0,0,4.25,0,0,245.33,0,0,2.12,0,2.12,0,0,0,22.3,0,1.06,0,0
 96-106,0,6.56,0,1.09,267.75,0,0,13.11,1.09,0,2.19,0,0,1.09,0,0,6.56,0,1.09,257.91,0,2.19,2.19,0,3.28,0,0,0,15.3,1.09,1.09,0,0
108-118,0,3.83,2.3,0,180,0.77,0.77,16.09,0,0,3.06,0,0,0,1.53,0.77,6.89,0,1.53,248.17,0,3.06,0.77,0,2.3,0,0,0,13.79,0.77,0,0.77,0
120,0,1.96,0,0,133.27,1.96,0,17.64,0,0,1.96,0,1.96,3.92,0,0,5.88,0,3.92,364.52,1.96,3.92,0,0,3.92,0,0,0,31.36,0,0,0,0
