stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,79.07,1568.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,962.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,7.89,0,13.14,0,0,0,81.49,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,396.94,13.14,0,0,147.21,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,31.47,0,0,0,84.97,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,437.43,6.29,0,0,110.14,0,9.44,0,12.59,0,6.29,3.15,0,0,0,0
 14-21,0,0,1,5,58,23,0,42,0,4,3,2,0,0,2,0,0,1,6,32,0,17,229,4,1,13,11,2,3,42,2,3,68,108,0,0,1,11
 24-34,0,0,0,0.82,9.03,1.64,0,25.45,0,3.28,0,0,0,0,0,0.82,0,0,0,9.85,0,4.93,60.74,1.64,0.82,8.21,0,4.93,0.82,0,0,0.82,1.64,32.83,0,0,2.46,0.82
 36-46,0,0,0,0.81,3.22,0.81,0,13.7,0,3.22,0,0,0,0,0,0,0,0,0,4.03,0.81,0,29,0.81,0,4.83,0,0,0,0,0,0,0,8.86,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,21.23,0,3.44,0,0,0.57,0,0.57,0.57,0,1.72,0,6.31,0,1.72,20.66,0,1.15,2.3,0,1.15,0,0,0,0,0,2.87,0,0.57,0,1.72
 60-70,0,0,0,0,1.96,0,0,59.87,0,5.89,1.96,0,0,0,0,0,0.98,1.96,0,4.91,0.98,0,37.3,0,0,0.98,0,1.96,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,44.17,1.96,2.94,1.96,0,0,0,0,0,0,0.98,0,9.82,0.98,0.98,25.52,0,0,1.96,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,38.23,1.06,5.31,3.19,0,0,2.12,1.06,1.06,0,0,0,7.43,0,0,22.3,0,0,2.12,0,1.06,0,0,1.06,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,17.49,2.19,3.28,1.09,0,0,1.09,1.09,0,2.19,2.19,0,7.65,0,1.09,15.3,0,2.19,0,0,1.09,0,0,0,0,0,2.19,0,0,1.09,0
108-118,0,0,1.53,0,1.53,0.77,0.77,7.66,0,3.06,1.53,0,0,0.77,0.77,0.77,0,1.53,0,2.3,0,0.77,19.15,0,2.3,1.53,0,1.53,0,0,1.53,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,0,7.84,1.96,0,3.92,0,0,0,3.92,0,0,0,0,1.96,0,1.96,13.72,1.96,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0
