stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,92.25,2556.52,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0
  5-6,49.04,465.85,0,0,0,0,6.13,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,21.03,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,1.64,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,1.72,0,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,0.98,12.76,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,19.63,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,11.68,0,0,0,0,1.06,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,18.58,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,11.49,0,0,0,0,1.53,0,0,0,0.77,0,0,0
120,0,0,0,0,0,19.6,0,0,1.96,1.96,5.88,0,0,0,0,0,0,0
