stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,spinal_cord,taste,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0
 48-58,0,0,0.57,19.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,26.5,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,6.87,0
 72-82,0,0,0.98,101.11,0.98,4.91,0.98,0,0.98,3.93,0,0.98,0,0.98,0.98,0.98,1.96,0,2.94,0,1.96,0.98,0,34.36,0
 84-94,0,0,0,142.31,0,2.12,0,1.06,0,13.81,0,0,1.06,0,0,2.12,0,0,1.06,0,1.06,2.12,0,70.09,1.06
 96-106,0,0,1.09,255.73,0,3.28,4.37,0,0,28.41,1.09,0,0,0,1.09,1.09,0,0,8.74,1.09,1.09,2.19,1.09,124.58,1.09
108-118,0.77,0,2.3,212.17,0,0.77,0.77,0,0,29.87,0,1.53,0.77,0,0,3.06,5.36,0.77,4.6,0,0,1.53,0,94.98,0.77
120,0,0,0,150.9,0,0,0,0,0,17.64,0,0,0,0,1.96,0,3.92,0,5.88,0,0,0,0,33.32,0
