stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,87,1,0,23,0,1,0,0,0,0,0,0,0,0,36,0,0,8,12,0,0,13,0,0,0,0,1,0,0,0,0,0
 24-34,0,0.82,120.67,0.82,1.64,118.2,0,0,0,4.93,0,0.82,0,0,0,0,111.64,0.82,0,4.93,32.83,1.64,1.64,8.21,0,0.82,0,0.82,4.1,0,0,4.1,0,0
 36-46,0,0,37.06,0.81,4.03,85.4,4.03,0,0,1.61,0,0.81,0,0,0,0,78.15,0,0.81,3.22,23.36,2.42,0,2.42,0,0,0.81,0,5.64,0,0,0.81,0,0
 48-58,0,0,29.84,0,6.31,85.5,4.59,3.44,0,0.57,0,0,0,0,0,0,57.95,1.15,1.15,1.15,17.79,1.15,0,1.15,0,0,0,0,4.02,0,0,0.57,0,0
 60-70,0,0,28.46,0,8.83,82.45,5.89,5.89,0,7.85,0,1.96,0,0,0,0.98,110.91,0,3.93,0.98,12.76,0,0.98,0.98,0.98,0.98,0,0,0,0,1.96,0,0.98,0
 72-82,0,0,33.38,0,10.8,90.31,18.65,3.93,0,1.96,0,1.96,0,0.98,0,0,188.48,1.96,7.85,5.89,10.8,0,0,0.98,6.87,0,0,0,0.98,2.94,6.87,0.98,2.94,0
 84-94,0,0,60.54,0,16.99,166.74,8.5,3.19,1.06,3.19,1.06,6.37,1.06,0,0,0,106.2,1.06,12.74,3.19,5.31,0,2.12,1.06,1.06,1.06,0,0,0,2.12,5.31,0,2.12,0
 96-106,0,0,79.78,0,21.86,168.3,8.74,14.21,1.09,3.28,1.09,7.65,0,2.19,2.19,0,179.23,3.28,3.28,4.37,29.51,0,6.56,7.65,12.02,2.19,0,0,1.09,1.09,4.37,4.37,7.65,1.09
108-118,0,0,95.75,0.77,22.21,217.53,15.32,3.06,1.53,3.83,0,11.49,0,0,0,0,166.21,2.3,5.36,3.83,16.85,0,7.66,4.6,14.55,1.53,0.77,0,0.77,2.3,3.83,3.83,3.06,0.77
120,0,0,64.67,0,17.64,148.94,3.92,7.84,1.96,3.92,0,3.92,0,0,0,0,137.18,1.96,1.96,1.96,23.52,0,3.92,1.96,9.8,3.92,0,0,1.96,3.92,11.76,0,5.88,0
