stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,3,1,5,17,0,4,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,6.57,0,2.46,22.98,0,0.82,0.82,0,0,0,71.41,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0.81,0,0,7.25,0,4.83,16.11,0,0.81,0,0,0,0,43.51,0,0,3.22,0,0,0,0,0.81
 48-58,0,0.57,0,0,4.02,0,0,0,0.57,0,0,0.57,0,4.59,0,0.57,12.62,0,0,0,0,0.57,0,23.53,0.57,0,3.44,0,0,0,0,0
 60-70,0,0.98,0.98,0,3.93,0,0.98,0.98,4.91,0,0,1.96,0,14.72,0,0,8.83,0.98,0,0,0,0,0,29.45,0,0,0.98,0,0.98,0,0,0
 72-82,0,1.96,0,0.98,11.78,0,1.96,0,2.94,0.98,0,0.98,0,34.36,0.98,4.91,14.72,0,0,1.96,0,0,0,30.43,0,0,2.94,0.98,0.98,0,0,0
 84-94,0,1.06,0,0,7.43,0,0,1.06,2.12,0,0,1.06,1.06,12.74,1.06,2.12,4.25,0,0,0,0,4.25,0,69.03,0,0,1.06,1.06,1.06,0,0,1.06
 96-106,0,2.19,1.09,1.09,8.74,0,0,0,0,0,0,1.09,1.09,6.56,0,1.09,9.84,0,0,0,0,0,0,63.39,0,0,0,0,0,0,0,0
108-118,0,2.3,0.77,0,3.83,0.77,0,0,3.06,0,0,0,1.53,11.49,0,0,1.53,0,0,0,0,0.77,0,43.66,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,3.92,0,0,0,0,3.92,0,1.96,7.84,0,0,0,0,0,0,33.32,0,0,0,0,1.96,1.96,1.96,0
