stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,7.39,0,8.21,0,0,0,0,0,0,0,0.82,0
 36-46,1.61,0,0,0,0,0,0,1.61,1.61,0,0,0,0,25.78,4.83,12.09,2.42,0,0,0,0,0,0,0,0
 48-58,1.72,0,1.15,0.57,2.87,0,0,0,5.74,0,0,0.57,0,26.4,4.59,7.46,1.72,0,0,0,0.57,0,2.3,0,0
 60-70,0.98,0,0,0.98,3.93,0,0,0.98,6.87,2.94,0,0,0,48.09,13.74,8.83,4.91,1.96,3.93,0,0,0,4.91,0,3.93
 72-82,0,1.96,0.98,1.96,3.93,0.98,0.98,2.94,9.82,0,0,0,0,53.01,11.78,9.82,5.89,0.98,1.96,0.98,0.98,0,3.93,0,8.83
 84-94,2.12,1.06,2.12,0,3.19,0,1.06,5.31,15.93,2.12,2.12,0,0,46.73,20.18,7.43,2.12,0,2.12,2.12,1.06,0,9.56,0,13.81
 96-106,0,1.09,3.28,0,9.84,1.09,2.19,4.37,29.51,1.09,1.09,0,1.09,77.59,16.39,5.46,16.39,0,10.93,1.09,0,0,7.65,3.28,21.86
108-118,1.53,0,2.3,0,4.6,0,1.53,3.06,16.85,1.53,0.77,0.77,0,53.62,8.43,14.55,9.19,0.77,6.89,0.77,0,0.77,1.53,0.77,16.09
120,3.92,0,0,0,0,0,3.92,0,23.52,1.96,0,0,0,41.16,5.88,11.76,3.92,0,5.88,0,0,0,9.8,1.96,13.72
