stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,2675.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,1366.91,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,18.39,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,21.03,0,34.17,0,0,0,115.66,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,843.82,39.43,0,0,307.56,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,0,34.62,0,12.59,0,129.03,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,3.15,1085.7,25.18,0,0,387.08,0,0,6.29,3.15,66.09,0,3.15,0,0,0,0,0
 14-21,0,0,1,4,43,11,0,33,0,0,0,2,2,1,0,0,2,0,0,1,0,25,0,0,23,250,4,0,3,5,0,4,0,46,3,2,54,77,0,0,0,0
 24-34,0,0,0,2.46,11.49,1.64,0,45.97,0,0,2.46,4.1,1.64,0,0.82,2.46,0,0,0,0.82,0.82,45.15,0,0.82,25.45,313.57,3.28,7.39,5.75,0,0,13.95,0,0.82,0,1.64,12.31,55.82,0,1.64,0,1.64
 36-46,0,0,0,0,7.25,0,0,78.15,0.81,0,2.42,8.86,0,0,1.61,0,0,0,0,1.61,0,49.95,0.81,0,14.5,319.05,0.81,2.42,0.81,0,0,3.22,0.81,0,2.42,0,0,50.76,0,1.61,0,1.61
 48-58,0,0,0.57,0,6.31,0,0,108.45,0.57,1.72,2.3,30.41,0.57,0.57,1.15,0.57,0.57,0.57,1.72,1.15,0.57,70.58,0.57,4.02,11.48,316.17,0.57,2.87,0.57,0,0,3.44,0,0,1.72,0.57,0,47.63,0,2.87,0,1.72
 60-70,0,0,0,0,7.85,0,0,104.04,1.96,0,1.96,27.48,0.98,0,0.98,0.98,0.98,0,0.98,2.94,0,70.67,0.98,3.93,7.85,185.51,0.98,3.93,1.96,0,0,3.93,0,0,0.98,1.96,0,21.59,0,3.93,0,0
 72-82,0,0,1.96,0,13.74,1.96,0.98,107,1.96,0,0.98,47.12,6.87,0,0,4.91,1.96,1.96,0.98,1.96,0,96.2,0,0.98,11.78,198.3,0.98,2.94,5.89,0,0,0.98,0,0,0.98,0.98,0,16.69,0.98,8.83,4.91,1.96
 84-94,0,0,0,0,12.74,3.19,1.06,77.53,1.06,1.06,1.06,24.43,4.25,0,2.12,8.5,3.19,2.12,0,2.12,0,67.97,1.06,2.12,5.31,101.96,0,3.19,1.06,0,0,8.5,0,0,3.19,0,0,12.74,3.19,6.37,1.06,0
 96-106,0,0,2.19,0,13.11,6.56,0,54.64,1.09,2.19,4.37,33.88,5.46,0,2.19,1.09,7.65,3.28,4.37,3.28,0,42.62,0,1.09,2.19,111.47,2.19,5.46,7.65,0,3.28,7.65,0,0,1.09,0,0,6.56,1.09,1.09,1.09,2.19
108-118,0,0,0,0.77,16.85,3.83,1.53,41.36,1.53,2.3,0.77,32.94,3.83,0,0.77,3.83,1.53,1.53,0.77,4.6,0.77,45.19,0.77,0.77,11.49,122.55,2.3,3.06,5.36,0,0.77,4.6,0,0,0.77,0,0,5.36,0,6.89,0.77,3.06
120,0,0,0,0,13.72,7.84,0,45.08,0,3.92,3.92,21.56,3.92,0,1.96,5.88,0,0,1.96,1.96,1.96,43.12,0,1.96,21.56,172.46,0,0,3.92,0,1.96,5.88,0,1.96,1.96,0,0,7.84,1.96,3.92,3.92,0
