stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0,0.82,0,0,16.42,1.64,0.82,0,0,0.82,0.82,12.31,0
 36-46,0,0,0,0,0,0,4.03,0,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0,38.67,0,2.42,0,0,1.61,0.81,19.34,0
 48-58,0,0,0,0,0,0,13.2,0,0.57,0,0.57,0,0,0,0,0,0,0,2.87,0,0,38.44,0,0.57,0,0,0,0,13.2,0.57
 60-70,0,0,0,0,0,0,17.67,0,0.98,0,0.98,0.98,0,0,0,0,0,0,4.91,0,0,51.04,0,0,0,0,0.98,0.98,16.69,0.98
 72-82,0,0,0,0,0,0,61.84,0,0,0.98,3.93,1.96,0.98,0,0,0,0,0,2.94,0,0.98,51.05,0,0.98,0.98,0,0,0,7.85,0
 84-94,0,0,0,0,0,0,43.54,0,0,0,1.06,2.12,0,1.06,0,0,1.06,0,1.06,0,0,33.99,0,2.12,3.19,0,1.06,0,4.25,0
 96-106,0,0,0,0,0,0,52.46,1.09,0,0,4.37,4.37,0,0,0,1.09,0,0,2.19,0,0,41.53,0,1.09,3.28,0,1.09,0,4.37,1.09
108-118,0,0,0.77,0,2.3,0,49.79,0,0,0,1.53,7.66,0,0,0.77,0,0,0.77,3.06,0.77,0.77,41.36,0.77,1.53,2.3,0,0.77,0,0,0
120,0,0,0,0,0,1.96,50.95,0,1.96,0,7.84,17.64,0,1.96,0,0,0,1.96,3.92,0,0,35.28,0,0,7.84,0,0,1.96,1.96,1.96
