stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,7.89,2.63,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,78.86,15.77,0,0,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,18.88,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.45,6.29,0,0,37.76,0,3.15,3.15,0,0,9.44,0,0,0,0
 14-21,0,0,0,4,0,9,0,0,0,71,0,1,0,0,0,0,0,0,3,0,0,2,2180,2,1,0,0,0,3,2,1,3,847,0,0,0,0
 24-34,0,0,1.64,9.85,1.64,29.55,0,1.64,0.82,183.05,0.82,1.64,0,0,1.64,0,0,0.82,17.24,0,0.82,15.6,6549.61,1.64,2.46,4.1,0,8.21,0,0.82,0.82,6.57,2144.9,0,7.39,0,0
 36-46,0,0,0,4.83,0,22.56,0.81,0,0,170.8,0.81,0,0.81,1.61,0.81,0,1.61,1.61,18.53,0,1.61,8.86,2686.91,0.81,2.42,0.81,0,4.03,0,0,0,0.81,1672.57,0,5.64,0,1.61
 48-58,0,0,0,1.72,0,28.69,0,0,0,200.26,0,0,0,0,0,0,0,0,6.89,0.57,0,2.3,590.45,0,0.57,0,0,0,0,0,0,0,584.13,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,21.59,0,0.98,0,100.12,0,0,0,0,0,0,0,0,7.85,0,0,0,129.56,0,0.98,0,0,0,0,0,0,0,68.71,0,0,0,0.98
 72-82,0,0,0,5.89,0,31.41,0.98,0,0,175.72,0,0,0,0.98,0,0,0,0,4.91,0,0,0,112.89,0,0,0,0,0.98,0,0,0,0,25.52,0.98,0,0,0
 84-94,0,0,0,0,0,12.74,0,0,0,93.46,0,0,1.06,0,0,0,0,0,1.06,0,0,0,52.04,0,0,0,0,0,0,0,0,0,24.43,0,0,1.06,0
 96-106,0,0,0,1.09,0,10.93,0,0,0,110.38,1.09,0,0,0,0,0,0,0,4.37,0,1.09,0,42.62,0,0,0,0,1.09,0,0,0,0,18.58,0,1.09,0,0
108-118,0,0,0,1.53,0,6.13,0,0,0,108,0,0,0,0,0,0,0,0,0.77,0,0,1.53,50.55,0,0.77,0,0,0,0,0,0,0,6.89,0,0.77,0,0
120,0,0,0,0,0,9.8,0,0,0,109.75,0,0,0,0,0,1.96,0,0,3.92,0,0,0,58.79,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
