stage,epidermis,eye,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,3,0,1,2,1,0,0
 24-34,0,0.82,0,0,0,0,0,1.64,0,0.82,2.46,0,0,1.64,0,0,0
 36-46,0,0.81,0.81,0,0,0,0,0,0,0,1.61,0,0,1.61,0.81,0,0
 48-58,0.57,1.15,1.72,0,0,0,1.15,1.72,0,0,4.59,0,0,0,0,0,0.57
 60-70,0,2.94,0.98,0,0,0.98,0,0.98,0,0.98,4.91,0,0,0,0,0,0
 72-82,0,12.76,0.98,0,0,0,0,5.89,0,0,13.74,0,0,0,0,0,0
 84-94,2.12,2.12,0,0,0,0,1.06,2.12,1.06,0,6.37,0,0,0,1.06,1.06,0
 96-106,0,2.19,0,0,1.09,0,0,1.09,1.09,0,3.28,1.09,0,0,0,0,0
108-118,0,3.83,0.77,0.77,0.77,0,0.77,1.53,0,0,3.83,0,0.77,0,0,0,0
120,0,3.92,1.96,0,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0
