stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,7.89,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,68.35,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,3.15,0,15.73,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,346.17,3.15,0,0,50.35,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,44,14,0,19,0,1,0,7,0,62,0,0,0,0,1,0,0,20,0,0,10,319,2,0,0,5,0,5,1,14,0,12,9,57,0,0,0,0
 24-34,0,0,1.64,118.2,1.64,0,25.45,0,1.64,0,4.1,0,2.46,0,0.82,0.82,0.82,1.64,0,0,26.27,2.46,0,18.06,201.93,1.64,2.46,1.64,0,0,4.1,0,0.82,1.64,2.46,0.82,38.58,0,0.82,0,0
 36-46,0,0,0,77.34,0,0,18.53,0,5.64,0,3.22,0,0,0,0,0,0,0.81,0,0,33.84,0,0,11.28,111.99,0.81,0.81,1.61,0,0,2.42,0,0,0.81,1.61,0,32.23,0,0,0,0.81
 48-58,0,0,0,109.6,0,0,14.35,0.57,9.75,0,4.59,0,0,0,0,0,0,1.15,0,1.15,40.17,0,0.57,10.33,72.87,0,0.57,2.3,0,1.15,0,0,0,0.57,0,0,10.33,0,1.15,0,1.15
 60-70,0,0,0,153.12,0,0,15.7,0.98,24.54,1.96,8.83,0,0,0,0,1.96,0,1.96,0,0,65.76,1.96,0.98,8.83,87.36,0,0,1.96,0,0,1.96,0,0,0,0.98,0,7.85,0,0,0,0
 72-82,0,0,0,165.9,0.98,0,11.78,0.98,20.61,1.96,8.83,0,0,0.98,0,0,0,0,0,0,75.59,2.94,0,8.83,87.37,0,0,4.91,0,0,0.98,0,0,0,0.98,0,6.87,0,0.98,0,0
 84-94,0,0,0,367.46,2.12,0,14.87,0,32.92,0,4.25,3.19,1.06,0,0,0,0,0,0,0,41.42,4.25,0,11.68,33.99,0,2.12,6.37,0,0,4.25,0,0,0,3.19,0,6.37,1.06,0,1.06,1.06
 96-106,0,0,0,481.95,1.09,1.09,5.46,1.09,46.99,0,10.93,0,0,0,0,1.09,0,1.09,2.19,1.09,44.81,1.09,0,1.09,43.71,2.19,2.19,3.28,0,0,7.65,0,0,0,7.65,0,0,0,2.19,1.09,0
108-118,0,0,0,511.66,4.6,0.77,16.85,0.77,73.53,0.77,9.96,1.53,0,0,0,0.77,0.77,0,0.77,0,44.43,1.53,0.77,3.83,53.62,0.77,3.83,2.3,0,0,1.53,0,0,0,10.72,0,2.3,0,0,0,0
120,0,0,0,474.27,1.96,0,9.8,1.96,78.39,0,7.84,5.88,0,0,3.92,0,0,0,1.96,0,23.52,5.88,3.92,3.92,56.83,0,1.96,5.88,0,0,7.84,0,0,0,7.84,0,1.96,1.96,7.84,0,0
