stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,65.67,0,0.82,0,0,16.42,0.82
 36-46,0,0.81,0,11.28,0,0.81,0,0,0.81,0,0.81,103.13,0,0.81,0,0,33.84,0
 48-58,0,0,0,8.03,0,1.72,0,0,1.15,0.57,0,123.94,0,1.15,0,0.57,25.25,0
 60-70,0,0,0,33.37,0,5.89,0,0,0.98,0,0,158.03,0,0.98,0,0,15.7,0
 72-82,0,0,0.98,44.17,0,4.91,0.98,0,0.98,0,0.98,148.23,0,2.94,0,0,23.56,0
 84-94,0,0,0,32.92,0,3.19,0,1.06,0,0,0,73.28,1.06,1.06,1.06,0,6.37,0
 96-106,0,0,0,14.21,0,0,0,0,0,0,0,75.41,0,1.09,0,0,3.28,1.09
108-118,0,0,0,19.15,0,1.53,0,0,0.77,0,0,85.02,0,0.77,0,0.77,2.3,0
120,0,0,0,29.4,0,0,0,0,0,0,0,80.35,0,0,0,0,7.84,0
