stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,32,1,0,0,0,0,0,0,0,24,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,3.28,0,0,0,0,0,0,0,0,2.46,0,0.82,117.38,0,11.49,0.82,0,0,0,0,0,56.64,0,0,4.1,0,0
 36-46,0,0,0.81,0,12.09,0,0,0,5.64,0,0,0,0.81,0,0,0,0,7.25,0,0.81,359.33,0,17.72,0,0,0,0.81,0,0,106.35,0,0,0.81,0,0
 48-58,0,0,0.57,0,31.56,0,0.57,0,8.61,0.57,0,0,0,0,0,0,0,5.74,0,0.57,405.11,0,11.48,0,0,0,0.57,0,0,64.84,0,0,0,0,0.57
 60-70,0,0,0,0,47.11,0,0.98,0.98,17.67,0,0,0,0,0,0,0,0,2.94,0,1.96,544.74,0,5.89,0,0,0,0,0,0,77.54,0,0,0,0,0
 72-82,0,0,2.94,0,57.92,0,0,0,12.76,0,0,0,0,0,0,0,0,4.91,0,0.98,558.57,0,29.45,0,0,0.98,0,0,0,62.83,0,0,0,0.98,0
 84-94,0,0,3.19,0,50.98,1.06,0,0,7.43,0,0,0,0,0,1.06,1.06,1.06,11.68,0,0,345.16,0,14.87,1.06,0,0,0,0,0,29.74,1.06,0,2.12,0,0
 96-106,0,0,3.28,3.28,46.99,0,1.09,1.09,18.58,0,0,0,1.09,0,0,1.09,0,8.74,1.09,0,245.89,0,30.6,2.19,0,0,1.09,1.09,0,18.58,0,2.19,1.09,1.09,1.09
108-118,0,0,3.06,0.77,42.89,2.3,0.77,0,13.79,0,0,0.77,0,0.77,0,0,0,6.13,0,0,288,0,16.09,0,0,0,0,0,0,13.79,0.77,0,0.77,0.77,0
120,0,0,11.76,0,41.16,0,0,0,15.68,0,0,0,1.96,0,0,0,0,3.92,0,0,358.64,0,19.6,1.96,0,0,0,0,0,23.52,0,0,1.96,0,0
