stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,0,10.51,0,13.14,0,0,0,0,5.26,0,0,0,0,0,0,0,0,89.38,2.63,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,75.53,3.15,0,0,28.32,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,4,24,0,0,1,0,1,3,0,3,5,1,0,0
 24-34,0,0,0.82,1.64,6.57,0,0,0.82,0,0,0,0,0.82,0,0.82,3.28,0.82,0,21.34,0,0,0,0,0.82,0,0,0,6.57,0,0,0
 36-46,0,0,0,1.61,7.25,0,0,0.81,0,0,0,0,0,0,0,4.03,0.81,0.81,22.56,0,0,0,0,0.81,0,0,0,4.83,0,0,0.81
 48-58,0,0,0,0.57,5.74,0.57,0,1.72,0,0,0,0.57,0.57,0,0.57,1.15,0,0,10.33,0,0,1.15,0,0.57,0,0,0,2.87,0.57,0,0
 60-70,0,0,0,1.96,7.85,0,0.98,1.96,0,0,0,0,0,0,0,1.96,0,0,4.91,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,3.93,0,0,2.94,0.98,0,0.98,0,0,0,0,3.93,0,0,3.93,0,0.98,0,0,0.98,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,3.19,0,0,1.06,0,0,0,0,1.06,0,0,1.06,0,0,8.5,0,0,0,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,4.37,0,0,1.09,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,5.36,0,0,2.3,0,0,0,0,0.77,0.77,0,2.3,0,1.53,7.66,0,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,5.88,1.96,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
