stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,33,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,7.39,0,0.82,0,0,0,0,0,3.28,0.82,0,3.28,0,0.82,0,178.13,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,8.86,0,0,0,0,0,1.61,0,0.81,0,0,1.61,0,2.42,0,118.43,0,0
 48-58,0,0,0.57,0.57,0.57,0,0,0.57,0,11.48,0,0,0,0.57,0,0.57,0,3.44,0,0,0,0,1.72,0,105.01,0,0.57
 60-70,0,0,0,0.98,0.98,0,0,0.98,0,6.87,0,0,0,0,0,0.98,0,1.96,0,0,0,0.98,0.98,0,94.23,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,24.54,0,0,0,0,0,0.98,0,5.89,0,0,0.98,0,0,0.98,193.39,0,0
 84-94,0,0,0,1.06,4.25,0,1.06,1.06,0,11.68,0,0,0,0,0,2.12,0,0,0,0,2.12,0,0,1.06,198.6,0,0
 96-106,0,0,1.09,3.28,4.37,0,0,1.09,0,27.32,2.19,0,0,0,0,4.37,1.09,5.46,0,0,3.28,0,0,0,184.69,1.09,0
108-118,0,0,1.53,0,1.53,0.77,0,0,0,9.96,1.53,0,0,0,0.77,0.77,0,3.06,0.77,0,1.53,0.77,0,0,153.19,0,0
120,0,0,1.96,0,0,1.96,0,3.92,1.96,13.72,0,0,1.96,0,0,0,0,1.96,0,0,5.88,0,1.96,0,96.03,0,0
