stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,232.93,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.81,2.63,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,110.14,0,0,0,18.88,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,144,9,0,2,0,3,0,0,5,0,0,0,6,0,0,2,0,0,0,13,0,0,5,1,0,20,1,3,3,0,3,1,0,0,0,0,0
 24-34,0,0,0,9.03,47.61,0.82,0,0.82,0,2.46,0,0,4.1,0,0,0,8.21,3.28,0.82,0.82,4.93,0,0,20.52,0,5.75,3.28,0,0,68.13,0,0,2.46,0,0,1.64,0,0,1.64,0,0
 36-46,0,0,0,0.81,16.11,0,0,1.61,0,5.64,0,0,3.22,0,0,0.81,3.22,3.22,0.81,1.61,1.61,0,0.81,29,0,2.42,0.81,0,0,43.51,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,16.64,0,0,3.44,0,8.61,0,1.15,0.57,2.3,0,0,0.57,4.59,0,1.15,2.3,0,0,13.77,0,2.87,0.57,0,0,35.58,0,0.57,3.44,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,12.76,0,0,4.91,0,7.85,0,2.94,3.93,0.98,0,0,0.98,2.94,0.98,4.91,0.98,0,0,16.69,1.96,2.94,5.89,0,0,36.32,0,0,3.93,0,0,0,0,0,0.98,0,0
 72-82,0,0,5.89,0.98,38.28,0,0,3.93,0,7.85,0,13.74,10.8,2.94,0,0.98,8.83,6.87,1.96,15.71,7.85,0,0,14.72,0,2.94,3.93,0,0,49.08,0,0,2.94,0,0,1.96,11.78,0,0.98,0,0
 84-94,0,0,7.43,1.06,64.78,0,0,6.37,0,10.62,0,8.5,19.12,1.06,0,1.06,9.56,8.5,1.06,13.81,11.68,1.06,0,11.68,0,9.56,2.12,0,0,145.5,0,0,4.25,0,0,1.06,14.87,1.06,0,1.06,0
 96-106,0,0,3.28,1.09,124.58,0,1.09,9.84,1.09,9.84,1.09,13.11,29.51,0,1.09,3.28,17.49,17.49,6.56,26.23,10.93,0,1.09,28.41,1.09,8.74,10.93,0,0,126.77,0,0,2.19,1.09,0,2.19,33.88,0,0,0,1.09
108-118,0,0,0.77,0,90.38,0,0,3.06,0,16.09,0.77,8.43,13.79,0,0,3.83,11.49,6.13,5.36,23.74,2.3,0,0.77,9.96,0,3.83,3.83,0,0.77,85.02,0,0,1.53,0,0,0.77,29.87,0.77,3.06,0.77,0
120,0,0,0,1.96,70.55,0,0,5.88,0,17.64,0,5.88,13.72,0,0,7.84,7.84,11.76,0,15.68,1.96,1.96,0,9.8,0,1.96,5.88,0,0,76.43,0,0,1.96,0,0,0,21.56,0,0,0,0
