stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,4,2,0,1,0,0,0,0,1,0,0,0,1,4,18,0,0,1,0,4,0,5,5,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0,4.93,2.46,26.27,0,0,0,0.82,0,0,0,4.1,1.64
 36-46,0,0,0,0,6.45,0,0,0,0.81,0,0,0,0,3.22,0,32.23,0.81,0,0,0,0,0.81,0,4.03,0
 48-58,0,0.57,0,0,20.08,0.57,0,0.57,1.15,0,0.57,0,0,2.87,1.15,23.53,0.57,0.57,0,0,0,0,0,2.3,0.57
 60-70,0,0,0,0,94.23,0,0,0,1.96,0.98,0,0,0,1.96,0.98,21.59,0,1.96,0,0.98,0,0,0,3.93,0.98
 72-82,0,1.96,0,0,157.07,0,0.98,0,1.96,0,0,0,0,5.89,0,49.08,0,5.89,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,176.3,0,0,1.06,3.19,0,0,2.12,0,1.06,1.06,20.18,0,2.12,0,2.12,0,0,0,1.06,1.06
 96-106,0,0,0,0,148.63,0,0,0,3.28,0,0,0,1.09,2.19,0,19.67,0,6.56,0,2.19,0,0,0,0,0
108-118,0,0.77,0.77,0.77,122.55,0,0.77,0.77,5.36,0.77,0,1.53,0.77,1.53,0.77,21.45,0,6.13,0,0,0,0,0,1.53,0
120,1.96,3.92,0,0,131.31,0,0,1.96,3.92,0,0,3.92,0,7.84,1.96,29.4,0,1.96,0,3.92,0,0,0,0,1.96
