stage,blastomeres,endoderm,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,4.91,0,3.93,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,31.41,0,8.83,0.98,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,0,23.36,0,11.68,1.06,1.06,1.06,0,0,1.06,0,1.06,0,1.06,0
 96-106,0,0,19.67,0,17.49,1.09,1.09,1.09,4.37,0,0,0,0,0,1.09,0
108-118,0,0,17.62,0.77,13.02,3.06,0.77,0.77,4.6,0,0,0,0,0,0,0
120,0,0,13.72,0,23.52,0,0,0,7.84,0,1.96,0,0,0,0,0
