stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,4.1,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,18.88,0,9.85,0,0,0,0,0,8.21,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0,0.81,0,0.81,1.61,0,24.17,0,5.64,0,0.81,0,0.81,0,20.14,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0.57,0,0,0.57,0,0.57,0,25.82,0.57,11.48,0,0,0,0,0,6.89,0,0,0
 60-70,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0,42.21,1.96,17.67,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,1.96,0,0,4.91,0,1.96,0,0.98,0,0,0,0,2.94,0.98,73.62,0.98,40.25,0,0,0.98,0.98,0,0.98,0,0.98,0
 84-94,0,3.19,1.06,0,0,3.19,0,1.06,3.19,0,0,0,0,0,0,0,37.17,2.12,73.28,0,1.06,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,1.09,1.09,1.09,0,3.28,0,0,1.09,1.09,2.19,0,1.09,0,46.99,4.37,90.71,0,0,0,1.09,1.09,1.09,1.09,0,0
108-118,0,0,1.53,0.77,0,3.83,0.77,0.77,0.77,0,0,0,0,0,0,0,40.6,0,61.28,0,0.77,0,0,0,0,0.77,0,0
120,0,1.96,1.96,0,0,7.84,0,1.96,0,0,0,0,0,0,1.96,0,52.91,0,54.87,0,0,0,0,0,0,0,0,0
