stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,53.5,0,0,3.15,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,10,1,6,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,5,73,2,0,0,2,0,0,5,0,140,15,20,0,1,0,0
 24-34,0,0,0,3.28,0,5.75,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,5.75,0,0,5.75,57.46,3.28,0,0,0,0,3.28,0,0,210.14,0.82,10.67,0,2.46,0,0
 36-46,0,0,0,1.61,0,17.72,9.67,0.81,2.42,0,0,0.81,0,0.81,0.81,0.81,0,0,11.28,0,0,8.06,131.32,1.61,0,0,0,0,0.81,0,0,205.45,0.81,25.78,0,0,0,0
 48-58,0,0,0,1.15,0,16.64,8.61,1.15,2.87,0.57,0,0,0,1.15,0,0,0,0,7.46,0.57,0,4.02,57.38,0,1.15,0.57,0.57,0,1.15,0,0,167.55,0,13.2,0,1.72,0,0
 60-70,0,0,0,1.96,0,14.72,16.69,1.96,1.96,0,0,0,0.98,0.98,0,0,0,0.98,7.85,0,0,5.89,21.59,0,0,0.98,0.98,0,0,0,0,106.99,0,3.93,0.98,0.98,0,0
 72-82,0,0,0,1.96,0.98,16.69,19.63,0,5.89,0,0,0,0,0,0,0,0,0,18.65,0,0,5.89,23.56,0.98,0,0,0.98,0,0,0,0,60.86,0,3.93,0.98,1.96,0.98,0.98
 84-94,0,0,1.06,1.06,0,7.43,37.17,0,2.12,1.06,0,0,2.12,0,0,0,4.25,0,6.37,0,1.06,7.43,13.81,1.06,0,0,0,0,2.12,0,0,121.07,0,2.12,0,2.12,0,0
 96-106,0,1.09,0,4.37,2.19,14.21,30.6,0,5.46,2.19,0,0,1.09,0,1.09,0,1.09,0,13.11,1.09,0,6.56,27.32,1.09,2.19,1.09,0,0,10.93,0,0,123.49,0,1.09,2.19,2.19,1.09,1.09
108-118,0,0,0,1.53,0,6.13,38.3,0.77,6.89,0,0,0,0.77,0,0,0,2.3,0,7.66,0,0,6.89,15.32,0,0,0.77,0,0.77,2.3,0,0,110.3,0,0,0,1.53,0,1.53
120,0,0,0,1.96,0,3.92,19.6,0,0,1.96,0,0,1.96,0,3.92,0,0,0,3.92,0,0,7.84,19.6,0,0,0,0,0,0,1.96,0,47.03,0,0,0,0,0,0
