stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,15.73,0,0,0,75.53,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,126,6,0,0,0,1,0,0,19,250,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,9.03,6.57,0,0,0,7.39,0,0,57.46,1.64,0,149.4,11.49,0,0,0,0,0,0,0,64.85,0.82,0,0,0,0
 36-46,0,0,4.03,0,0.81,0,1.61,9.67,16.11,0,0,0,7.25,0,0,103.93,0,0,119.24,8.86,0,0.81,0,0,0,0,0,0,4.83,0.81,0,0,0
 48-58,0,0,0.57,0,1.72,0,0.57,7.46,9.75,0,0.57,0,0.57,0,0,125.09,0,0,55.66,10.9,0,0,0,0,0,0,0,0,4.59,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0.98,20.61,1.96,0,0.98,0,0.98,0,0,173.73,0,0,38.28,8.83,0,0,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,11.78,0.98,0,20.61,2.94,0,0,0,0.98,0,0,234.62,0,0,58.9,6.87,0,0,0.98,0,0,0,0,0,0.98,11.78,0,0,0
 84-94,0,0,0,1.06,15.93,0,2.12,27.61,5.31,0,0,0,7.43,0,0,176.3,0,0,35.05,8.5,0,0,0,0,0,0,0,0,3.19,9.56,0,0,1.06
 96-106,0,0,1.09,1.09,8.74,0,0,13.11,2.19,0,1.09,0,3.28,0,0,244.8,0,3.28,30.6,16.39,0,0,0,0,1.09,2.19,0,0,1.09,14.21,1.09,2.19,0
108-118,0,0.77,2.3,0,9.19,0,0,10.72,1.53,0,0,0,7.66,2.3,0,180.77,0.77,1.53,21.45,20.68,0.77,0,0.77,0,1.53,0,0,0,1.53,9.96,0.77,0,0
120,0,0,7.84,0,7.84,0,1.96,9.8,0,0,0,1.96,3.92,0,1.96,172.46,0,0,11.76,9.8,0,0,0,0,0,0,0,0,0,5.88,0,0,0
