stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0
 24-34,0,0.82,0,2.46,0,0,0,0,0,0,0.82,0,0.82,0,0,84.55,0.82,0,0,29.55,0,0,0
 36-46,0.81,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,194.97,4.83,0,0,40.28,0,0,0
 48-58,0,0.57,0.57,14.92,0.57,0,0,0.57,0,0,0,0,2.3,0,0,274.85,1.15,0,0,43.61,0.57,0,1.15
 60-70,0,0,0,28.46,0,0,0,2.94,0,0,0,0,3.93,0,0,604.62,1.96,0.98,0,40.24,0,0,0
 72-82,0,1.96,0,63.81,0,0.98,0,2.94,0.98,0.98,0,0,1.96,0,0.98,660.66,2.94,0,0,28.47,0,0,0
 84-94,0,2.12,0,37.17,0,0,1.06,9.56,0,0,0,0,3.19,1.06,0,303.74,1.06,0,2.12,13.81,0,0,0
 96-106,0,0,1.09,43.71,0,0,2.19,13.11,0,0,0,0,4.37,2.19,0,263.38,2.19,0,1.09,8.74,1.09,0,1.09
108-118,0,1.53,0,42.89,0,0,0,3.83,0,0,0.77,0,1.53,0.77,0,261.19,0.77,0,0.77,7.66,0.77,0.77,0
120,0,1.96,0,21.56,0,0,0,5.88,0,1.96,0,1.96,1.96,0,1.96,282.21,0,0,0,11.76,1.96,0,0
