stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,9.44,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,9,0,0,2,0,0,1,6,16,0
 24-34,0,0,0,0,0,0.82,0,5.75,0,0,0,3.28,0,0,0,9.85,0,4.1,0.82,0,0,0,0.82,13.95,0
 36-46,0,0,0,0,0,0,0,11.28,0,0,0,4.03,0,0,0,17.72,0,4.83,0,0,0,0,2.42,20.95,0
 48-58,0,0,0,0,0,1.72,1.15,11.48,0,0.57,0,4.59,0,0,0,4.02,0,1.72,0.57,0,0,0,1.15,16.07,0
 60-70,0,0,0,0,0,0,0,4.91,0,0,0,0.98,0.98,0,0,3.93,0,0.98,0,0,0,0,0.98,2.94,0
 72-82,0,0,0,0,0.98,0,0,14.72,0,0,1.96,3.93,0,0,0,2.94,0,6.87,0.98,0,0,0,0,2.94,0
 84-94,0,0,0,0,0,1.06,0,6.37,0,0,0,3.19,0,1.06,1.06,0,0,5.31,4.25,0,0,0,0,5.31,0
 96-106,0,0,0,0,0,1.09,0,4.37,0,0,2.19,2.19,0,0,0,2.19,0,0,2.19,0,0,0,0,5.46,0
108-118,0,0,0,0,0,0,0.77,1.53,0.77,0,1.53,1.53,0,0,0,2.3,0,1.53,0,0,1.53,0,0.77,2.3,1.53
120,0,0,0,0,0,0,0,3.92,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
