stage,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0.82
 36-46,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0
 48-58,0,0,1.72,0.57,0,0,0.57,0,0,0,0,1.15,0,0,0,5.16,0,0,0,1.72
 60-70,0,0,1.96,0,0,0.98,0,0,0,0,0,0.98,0,0,0,3.93,0.98,0,0.98,0
 72-82,0,0,1.96,0,1.96,1.96,0,0.98,0,0,0,0.98,0,0.98,0.98,8.83,0,0,1.96,0
 84-94,0,0,2.12,0,0,3.19,0,1.06,0,0,0,0,0,0,0,3.19,0,0,1.06,0
 96-106,0,2.19,1.09,0,0,4.37,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,23.74,1.53,0,0.77,8.43,0,1.53,0,0.77,0.77,1.53,0,0,0,0.77,0,0,0,0
120,0,7.84,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
