stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,2.63,0,0,0,0,0,0,2.63,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,1,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,1.61,0.81,0,3.22,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0
