stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.89,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,37.76,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,9,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0
 24-34,0,0,2.46,0,4.1,0,1.64,2.46,1.64,0,0,0,0,0.82,0,0,0,0,0.82,0,2.46,0,0,4.93,31.19,2.46,0,2.46,0,0,0,0,0,4.1,0,1.64,0,0,0,0,0
 36-46,0,0,0.81,0,2.42,0,1.61,16.92,0.81,0,0,0,0,0,0,0,0.81,0.81,0,0,10.47,0,0,0,56.4,0,1.61,2.42,0,0,0,0,0,1.61,0.81,5.64,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,11.48,43.61,0.57,0,4.02,0,0,0,0,0.57,0.57,0,0,0,11.48,0,0,5.74,65.99,0.57,1.72,1.15,0,0,0.57,0,0,2.3,14.35,6.89,0,1.15,0,0,1.15
 60-70,0,0,0.98,0,1.96,0,11.78,27.48,0.98,1.96,4.91,0,0,0.98,0.98,0,0,0,0,0,26.5,0,1.96,5.89,99.13,0,1.96,0,0.98,1.96,2.94,0,0,0.98,14.72,9.82,0,9.82,0,2.94,0
 72-82,0,0,0,0.98,3.93,0.98,16.69,49.08,0,1.96,11.78,0,0,0,0,0,0,0,0,0,39.27,0,6.87,4.91,123.69,0,1.96,0,0,0,0,0,0,1.96,21.6,0.98,1.96,16.69,0.98,17.67,0.98
 84-94,1.06,0,3.19,0,0,0,22.3,64.78,2.12,1.06,10.62,0,0,2.12,1.06,0,0,0,3.19,0,31.86,0,10.62,6.37,71.16,0,0,1.06,0,2.12,4.25,0,0,2.12,47.79,2.12,1.06,9.56,1.06,13.81,0
 96-106,0,0,0,0,10.93,4.37,45.9,128.96,1.09,1.09,12.02,0,0,1.09,1.09,2.19,0,0,2.19,0,33.88,2.19,10.93,8.74,68.85,1.09,5.46,0,0,3.28,4.37,0,0,1.09,48.09,1.09,2.19,13.11,2.19,20.76,1.09
108-118,0,0,2.3,0,5.36,0.77,26.04,140.17,0.77,2.3,15.32,1.53,0,1.53,0,0,1.53,0.77,1.53,0.77,23.74,0,5.36,20.68,88.09,0.77,0,1.53,0,3.06,2.3,0,0,6.13,42.13,2.3,0.77,4.6,2.3,9.96,0.77
120,0,0,1.96,0,5.88,0,17.64,97.99,0,3.92,11.76,1.96,0,1.96,0,0,1.96,0,0,0,27.44,0,9.8,13.72,70.55,0,1.96,3.92,0,3.92,0,0,1.96,5.88,9.8,1.96,0,5.88,1.96,5.88,0
