stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
 24-34,0,0,0,4.1,0,0,8.21,0,0,0,4.93,0,0,0.82,0,0,0,0,0,0.82,13.13,0,0,2.46,688.7,0.82,1.64,0,0,0,2.46,0.82,0,0.82,130.52,0,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,19.34,0.81,0.81,0,153.08,0.81,0,0.81,2.42,0.81,0,0.81,0.81,6.45,18.53,0,0.81,2.42,1787.78,0,1.61,0.81,0,0.81,1.61,1.61,0,0,253.79,0,0,4.83,0,0.81
 48-58,0,0,0,14.92,0.57,0,171.57,1.15,2.87,3.44,536.51,0,0,2.3,1.72,0.57,1.72,0,1.15,14.35,52.79,0.57,1.15,4.02,2986.65,2.87,4.02,2.3,0,0,5.16,0,0,0,371.25,0,0,3.44,0,2.87
 60-70,0,0,0,12.76,1.96,0,443.65,2.94,2.94,1.96,667.43,0.98,0.98,0,0.98,0,3.93,1.96,1.96,11.78,83.43,0.98,3.93,8.83,3434.35,1.96,0.98,1.96,0,0,5.89,1.96,0.98,0,264.03,0,0,1.96,2.94,0.98
 72-82,0,0.98,0,43.19,13.74,0,840.3,1.96,4.91,8.83,816.74,5.89,0,2.94,2.94,0.98,2.94,1.96,3.93,5.89,150.19,0.98,1.96,14.72,3700.87,0,1.96,3.93,0,1.96,13.74,0,0,0,133.51,3.93,3.93,16.69,4.91,5.89
 84-94,0,1.06,0,83.9,7.43,0,689.26,2.12,6.37,6.37,602.18,4.25,0,1.06,5.31,1.06,13.81,3.19,0,11.68,97.71,3.19,4.25,13.81,2146.38,2.12,1.06,1.06,0,0,30.8,4.25,2.12,0,109.39,5.31,3.19,10.62,7.43,3.19
 96-106,0,0,3.28,104.91,19.67,3.28,710.35,4.37,5.46,6.56,649.15,5.46,0,1.09,5.46,2.19,2.19,2.19,7.65,4.37,100.54,0,7.65,8.74,1865.49,1.09,4.37,5.46,0,0,32.79,0,0,0,43.71,6.56,7.65,16.39,4.37,5.46
108-118,0,0.77,0,33.7,9.96,3.83,536.94,3.83,0.77,3.06,558.39,4.6,0,0.77,6.13,0,2.3,0.77,6.13,0,65.11,1.53,0,9.19,2172.27,0,2.3,3.83,0,1.53,13.02,2.3,0.77,0,32.17,3.83,3.06,6.89,1.53,8.43
120,0,0,0,78.39,7.84,7.84,574.22,1.96,5.88,5.88,846.63,1.96,1.96,0,5.88,0,5.88,0,5.88,1.96,86.23,1.96,1.96,21.56,3143.5,1.96,13.72,3.92,0,0,21.56,7.84,0,0,37.24,1.96,1.96,7.84,3.92,5.88
