stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,0,3,139,0,1,0,0,0,0,1,1,0,0,0,0,1,30,0,0,24,31,0,0,0,0,0,1,0,0,7,10,0,27,0,0
 24-34,0,0,0,2.46,13.95,0,2.46,0,0,0,0.82,0,5.75,0,0,0.82,0.82,18.88,79.62,0.82,0,23.8,102.61,0,0.82,0.82,0,0,9.03,0,0,1.64,21.34,0,122.31,0,0.82
 36-46,0,0,0,0,1.61,0,2.42,0,0,1.61,7.25,0,5.64,0,0,0.81,0,24.98,61.23,0,2.42,7.25,98.29,0.81,0.81,0,0,0.81,9.67,0,0,0,20.14,0.81,98.29,0,0
 48-58,0,0,0,0.57,0.57,0,13.2,0,0,1.72,9.75,0,5.16,0,0,5.16,0,32.13,112.47,0,1.72,8.61,63.69,0,0,0.57,0,0.57,4.02,0,0,0,14.35,0.57,96.4,0,0.57
 60-70,0,0,0,0.98,0.98,0,2.94,0,0,0.98,11.78,0,9.82,0,0,29.45,0,10.8,141.34,0,4.91,6.87,47.11,0,0,0,0,1.96,4.91,0,0,0,7.85,1.96,73.61,1.96,0
 72-82,0,0,0,2.94,1.96,0,10.8,0,0,0,23.56,1.96,16.69,0,0,38.28,0,9.82,190.44,0,8.83,5.89,64.79,0,0.98,0,0,1.96,2.94,0,0.98,0,0.98,9.82,169.83,4.91,0.98
 84-94,0,0,0,3.19,1.06,0,10.62,1.06,0,2.12,6.37,0,8.5,0,0,26.55,0,15.93,122.13,0,3.19,8.5,32.92,0,0,0,0,2.12,9.56,0,0,0,6.37,3.19,158.24,5.31,0
 96-106,0,0,0,5.46,1.09,0,15.3,0,1.09,2.19,15.3,0,20.76,0,2.19,20.76,0,12.02,112.56,1.09,1.09,2.19,42.62,0,0,1.09,0,3.28,3.28,0,1.09,0,2.19,1.09,180.32,3.28,0
108-118,0,0,0,8.43,1.53,0.77,9.19,0,0.77,0,18.38,1.53,6.13,0.77,0.77,30.64,0.77,20.68,79.66,0,3.06,1.53,26.81,0,0,0,0,2.3,3.83,0,0.77,0,0.77,1.53,114.13,0,0
120,0,0,0,9.8,0,0,5.88,0,0,0,1.96,1.96,0,0,0,23.52,0,5.88,50.95,0,5.88,1.96,37.24,0,0,1.96,0,0,1.96,0,0,0,5.88,1.96,96.03,0,0
