stage,blastomeres,eye,fast.muscle,iridophores,melanocytes,mesenchyme,muscle,neural,periderm,spinal.cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,6.13,0,0
 14-21,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,1.61,0.81,0.81,0
 48-58,0,1.72,0,0,0,0.57,0,0,0,0.57,0.57
 60-70,0,1.96,0,0,0,0.98,0,0,0,0,0
 72-82,0,2.94,0.98,0,0,0,0,0,0,0,0
 84-94,0,2.12,0,1.06,0,0,0,0,0,0,0
 96-106,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,1.53,0,0,0.77,0,0,0,0,0,0
120,0,3.92,0,0,0,0,0,0,0,0,1.96
