stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,0,0,44.69,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,81.49,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,141.61,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,1,9,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,6,954,4,0,0,9,0,1,3,0,0,5,68,0,0,0,0,0
 24-34,0,0,0,0.82,4.93,2.46,14.78,0,0,1.64,10.67,1.64,0,0,0,0.82,0,0,0,13.13,0,0,9.03,1501.35,0,0.82,1.64,0,0,7.39,0,0,0.82,0.82,250.36,0,0,4.1,0,0.82
 36-46,0,0,0,0,7.25,0,27.39,0.81,0,0,132.13,0,0,0.81,1.61,0,0,0.81,0,26.59,0.81,0,4.03,1412.34,0.81,3.22,0.81,0,0,6.45,0,0.81,0,0,327.1,0,0,0.81,0,1.61
 48-58,0,0,0,0,1.15,0,33.28,0,0,0,215.18,0,0,0,1.15,0,0.57,0,0,8.61,0,0,2.87,637.5,0,0.57,0,0,0,2.3,0,0,0.57,0,161.81,0,0,1.15,0,1.72
 60-70,0,0,0,0,0,0,27.48,0,0.98,0,148.21,0.98,0,0,0.98,0,0,0,0,4.91,0.98,0,2.94,344.51,0,0,0,0,0,0.98,0,0.98,0,0,28.46,0,0,0,0,1.96
 72-82,0,0,0,0,1.96,0.98,34.36,0,0,0,124.67,0.98,0,0,0.98,0,0,0,0,8.83,0,0,0.98,283.7,0,0,0,0,0,0.98,0,0,0,0,4.91,0,0,0,0.98,1.96
 84-94,0,0,0,0,7.43,0,50.98,0,1.06,0,81.78,0,0,0,1.06,0,0,0,0,12.74,0,0,0,214.53,1.06,0,0,0,0,0,0,2.12,0,0,6.37,1.06,2.12,0,0,0
 96-106,0,0,1.09,0,7.65,1.09,36.06,1.09,0,1.09,99.45,0,0,0,1.09,0,0,0,2.19,9.84,0,1.09,0,174.86,2.19,1.09,0,0,0,3.28,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,2.3,0,11.49,0,0,0,67.4,0,0,0,0,0.77,0,0,0.77,3.83,0,0,0.77,228.26,0.77,0,0.77,0,0.77,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,25.48,0,1.96,0,88.19,0,0,0,1.96,0,0,0,0,3.92,0,0,0,229.29,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
